sec	display	text
274.240	4:34.24	did. Um, we get some more perspective
277.040	4:37.04	after time and then, you know, each one
278.560	4:38.56	after that we would try to address the
279.919	4:39.92	problems and usually we'd overshoot or
282.720	4:42.72	we'd go off in a totally different
283.759	4:43.76	direction and invent new problems for
285.440	4:45.44	the users. Uh on the simulation side,
289.840	4:49.84	most of the games we do are about real
292.240	4:52.24	world systems. Um so the simulation in a
296.000	4:56.00	sense is leading the charge on the
297.680	4:57.68	educational front. We pick a system that
299.919	4:59.92	we want to educate the user about and
302.240	5:02.24	then we look at the simulation design
304.320	5:04.32	and how much of the system do we want to
307.360	5:07.36	wrap the user's mind around. Um there
310.080	5:10.08	are a lot of issues there in terms of
312.000	5:12.00	how much of a simulation do we put in?
313.840	5:13.84	How high is the fidelity of the
315.680	5:15.68	situation? When does it match reality
317.440	5:17.44	versus users expectations? Um on the
320.400	5:20.40	game design, a lot of times we will
321.840	5:21.84	decide to make the simulation match
324.160	5:24.16	users expectations rather than reality.
327.039	5:27.04	Uh in certain cases, if otherwise it
329.600	5:29.60	would destroy the gameplay. Um on the
332.320	5:32.32	game design, games are really all about
335.360	5:35.36	problem solving, constraints,
337.680	5:37.68	challenges. So simulation is more about
342.320	5:42.32	modeling the real world. So the
344.000	5:44.00	simulation is where the problem is
345.680	5:45.68	usually embedded. We will build a
347.360	5:47.36	simulation so that the problems come up.
349.680	5:49.68	Uh as far as the simulation is
351.039	5:51.04	concerned, they're not problems. It's
352.240	5:52.24	just data going through some uh
353.759	5:53.76	algorithms. It's the game design that
356.560	5:56.56	basically points you toward a goal. So
360.320	6:00.32	the game design is actually going to
362.080	6:02.08	tell you what is a problem in the
364.639	6:04.64	simulation, what constraints the user
366.880	6:06.88	has to deal with that problem, and those
369.840	6:09.84	constraints are typically where the
371.440	6:11.44	gameplay is going to come from. Uh the
374.800	6:14.80	interface has to support both of these
377.440	6:17.44	processes. Uh you have to visualize the
381.280	6:21.28	simulation. There are a lot of issues
383.680	6:23.68	with how much of the simulation do we
385.919	6:25.92	make explicit to the user. Sometimes we
388.080	6:28.08	don't want to show every last detail of
390.080	6:30.08	the simulation to the user. Uh we want
392.880	6:32.88	to sometimes prop up this illusion of
395.280	6:35.28	reality and that's one of these issues
399.039	6:39.04	where the game design is in opposition
400.800	6:40.80	to the simulation design. Sometimes as
403.280	6:43.28	an educator a lot of people
406.160	6:46.16	would rather see simulations that were
407.759	6:47.76	very explicit in the way they modeled or
410.000	6:50.00	in uh what the user sees of the modeling
412.880	6:52.88	process. In other words, they want the
414.960	6:54.96	users to know exactly how Sim City is
416.960	6:56.96	calculating the traffic rate or why
419.280	6:59.28	crime appears, what the algorithm for
420.880	7:00.88	crime is. On a game design front, that's
423.520	7:03.52	not always desirable. If you make the
425.360	7:05.36	system too explicit, a, you destroy that
428.160	7:08.16	illusion of reality, and b, you take
430.400	7:10.40	away some of the challenge of the
431.520	7:11.52	problem solving. One of the things that
433.840	7:13.84	we think about uh on the education front
436.000	7:16.00	is that when we're designing a model,
438.400	7:18.40	we're not necessarily designing a
440.960	7:20.96	computer model. our real end product is
443.919	7:23.92	the uh mental model in the player's
445.919	7:25.92	head. We're trying to give them maybe a
449.039	7:29.04	more robust model of the way a city
451.120	7:31.12	works or a planet works or whatever. The
453.840	7:33.84	computer model really is just an
455.120	7:35.12	incremental step in that direction. It's
457.599	7:37.60	like a compiler for the middle model. So
460.560	7:40.56	uh
464.080	7:44.08	the actions that the user is allowed to
466.160	7:46.16	do in the interface basically define how
470.080	7:50.08	you can deal with the problems and these
471.520	7:51.52	are the constraints. Most of the uh
474.319	7:54.32	interfaces I'm going to show you
476.000	7:56.00	conceptually can be kind of split into
478.879	7:58.88	the data output you know problem
481.680	8:01.68	identification side and the data input
484.720	8:04.72	problem solving side where the tools are
486.560	8:06.56	applied and the user actually has input
488.000	8:08.00	to the model.
489.759	8:09.76	the uh one of the paradigms we've tried
492.160	8:12.16	to use in designing these simulations is
494.240	8:14.24	to think of them a little bit more as
496.639	8:16.64	toys rather than games. That is to leave
499.759	8:19.76	them a little more open-ended. They're
500.960	8:20.96	not necessarily as goal- directed as
502.400	8:22.40	most games would be. Most games you have
504.720	8:24.72	a very single-minded goal. You solve
506.800	8:26.80	that, you win. Uh the kind of
509.120	8:29.12	simulations we've been moving towards
511.199	8:31.20	really are a little more open-ended
512.399	8:32.40	where in a lot of cases the user is
514.479	8:34.48	deciding what the goal is before they
516.719	8:36.72	play. when they play Sim City for
518.240	8:38.24	instance, we don't necessarily tell them
520.080	8:40.08	you have to get the biggest city you can
521.599	8:41.60	or you have to make your residents as
522.880	8:42.88	happy as can be. People will actually
525.519	8:45.52	take it and play different ways. They'll
527.040	8:47.04	basically identify, they'll think of,
529.040	8:49.04	well, what's my goal today or what kind
531.120	8:51.12	of city do I want to build? I want to
532.399	8:52.40	build a city that has the happiest
533.920	8:53.92	possible residence and then they'll try
535.360	8:55.36	to meet that goal. So, it's a little
537.040	8:57.04	more open-ended the way a ball can be
539.279	8:59.28	used for different games. The user
540.640	9:00.64	decides what the goal is. You know, if I
541.920	9:01.92	kick the ball through the goal, then I
543.519	9:03.52	win. Uh that's the way I think of these
546.000	9:06.00	kind of as software toys rather than
547.680	9:07.68	games. Um
550.720	9:10.72	there was a really cool uh short story
552.720	9:12.72	written by Stannis Lim called the
554.240	9:14.24	Seventh Sally
556.080	9:16.08	and he describes this he's got these
558.880	9:18.88	robot cultures and they go around doing
561.040	9:21.04	these things and uh one of the robots
563.040	9:23.04	who was an inventor Tur came across this
565.519	9:25.52	asteroid where there was this deposed
567.839	9:27.84	dictator all by himself and he was
569.839	9:29.84	really sad because he didn't have a
570.959	9:30.96	kingdom to rule and so Turl invented
573.360	9:33.36	this magical invention for him and it
574.880	9:34.88	was a box with a whole kingdom inside
576.959	9:36.96	that he could rule and enslave and do
579.440	9:39.44	bad things to with little knobs to
580.959	9:40.96	control them. He never got real explicit
583.360	9:43.36	about what the interface was.
585.279	9:45.28	Really fancy knobs.
586.320	9:46.32	Yeah, really fancy knobs. But I mean, he
588.240	9:48.24	could go down to the point of, you know,
589.600	9:49.60	issuing decrees and, you know, making
591.360	9:51.36	that guy slip off his horse and doing
593.600	9:53.60	these little things in the midst of a
595.040	9:55.04	battle. And it was just the idea of it
597.920	9:57.92	is kind of what's uh inspired me through
599.920	9:59.92	the years to build these things. We're
601.279	10:01.28	nowhere near building turtles invention,
603.600	10:03.60	but uh
606.000	10:06.00	I I think to me that's kind of why I do
608.080	10:08.08	a lot of this. Um I'm going to start off
610.160	10:10.16	with an old program, Sim Earth, and go
613.760	10:13.76	through some of the elements.
619.950	10:19.95	[Music]
625.760	10:25.76	Let me change the monitor setting real
627.279	10:27.28	quick here.
633.600	10:33.60	Now, this project was a little bit
635.120	10:35.12	ambitious.
636.800	10:36.80	Um,
638.480	10:38.48	we were trying to do a simulation of the
640.640	10:40.64	planet.
643.040	10:43.04	Turn off the annoying music.
647.120	10:47.12	Uh, so you know, we started this
648.560	10:48.56	project. The intent of this project was
651.120	10:51.12	to kind of show how complex planetary
654.720	10:54.72	systems are,
656.640	10:56.64	show the linkages between various
658.959	10:58.96	systems that most people don't think
660.320	11:00.32	about. Most people uh up till recently
662.959	11:02.96	interdisciplinary study has been kind of
664.800	11:04.80	a a backwater thing and now it's getting
667.839	11:07.84	really in the forefront. But people have
669.600	11:09.60	been doing for instance climate models
671.120	11:11.12	or evolution models or biom models in
674.240	11:14.24	isolation without regard for the way
676.079	11:16.08	these things link together. So one of
678.000	11:18.00	our intents was to show the inter
679.120	11:19.12	relationship between these different
680.480	11:20.48	fields of study. Another was to give a
682.640	11:22.64	sense of the vast time scales over which
684.560	11:24.56	the planets evolved. Um and so our task
687.600	11:27.60	here was to kind of figure out what
688.800	11:28.80	would the interface to a planet be. The
691.680	11:31.68	uh the main window you see here is a map
694.320	11:34.32	of the planet we have. Um let me load
698.160	11:38.16	Earth. It'll give you a little bit more
699.519	11:39.52	sense of the scale here.
703.120	11:43.12	This is one of the scenarios you can
704.320	11:44.32	play with it. Earth modern day.
709.120	11:49.12	At this level, we're getting an overview
710.560	11:50.56	of the planet. Um, I can actually open
713.519	11:53.52	another window here. This is a local
715.120	11:55.12	window. This is what we use for uh the
717.279	11:57.28	local control of the planet. I can
719.360	11:59.36	actually use this to move that around as
722.320	12:02.32	a little finder for it. Um so in the
725.839	12:05.84	interface here one of the conceptual
728.160	12:08.16	things that we've done in most of our
729.519	12:09.52	products is that we have a distinction
731.120	12:11.12	here between the global in this window
734.240	12:14.24	and the local in this window.
739.120	12:19.12	That distinction also applies to the
740.880	12:20.88	controls and the displays that you get
742.880	12:22.88	from each window.
745.200	12:25.20	Uh on the illusion of reality whenever
747.279	12:27.28	you look at a map it's hard to imagine
749.279	12:29.28	that you're really seeing a real system.
751.279	12:31.28	So after playing with this for a while
752.720	12:32.72	in development um we started thinking
754.720	12:34.72	you know this is looks like a simulation
756.560	12:36.56	it doesn't look like a toy planet. How
757.920	12:37.92	do we make it look more like a toy
759.120	12:39.12	planet? So we went through a lot of uh
761.920	12:41.92	hoops and kind of came up with this
765.200	12:45.20	which is displaying the same data
766.880	12:46.88	actually in a more restrictive format
769.360	12:49.36	because you're only seeing half the
770.399	12:50.40	planet at one time. But uh in some ways
773.360	12:53.36	it gives you more the feeling of playing
774.639	12:54.64	with a planet. So this is my little toy
776.160	12:56.16	planet. This works the same. All the
778.000	12:58.00	maps that display on this work the same.
780.399	13:00.40	Uh this actually turned out to be the
782.079	13:02.08	appropriate place for us to show the
784.079	13:04.08	core because as you play the game the
786.399	13:06.40	model of the geosphere includes the core
789.600	13:09.60	coallesing which is changing the
790.959	13:10.96	continental drift rates and a few other
792.480	13:12.48	factors.
794.560	13:14.56	Um this really for the amount of effort
797.760	13:17.76	and time we spent on this I think was
799.519	13:19.52	more of a macho programmer thing. Uh
803.440	13:23.44	let's see if we can map this onto a
805.120	13:25.12	sphere in real time. uh a horrendous
807.519	13:27.52	amount of code and time and effort went
809.040	13:29.04	into that which probably was not worth
810.399	13:30.40	it. Um
813.120	13:33.12	but live and learn.
815.600	13:35.60	On the bottom here we have controls. Uh
819.600	13:39.60	I'll go through them very briefly. Uh
821.519	13:41.52	this is just the terrain basically.
823.839	13:43.84	Events show on this map. Um this is
827.440	13:47.44	continental drift rates. We can hold the
829.600	13:49.60	button down and get a view of the plate
831.519	13:51.52	boundary. what the plate names are. Uh,
834.160	13:54.16	on the continental drift in this game,
837.120	13:57.12	the continents are drifting around at
838.480	13:58.48	certain time scales and it actually
840.399	14:00.40	records the drift. So, I can come back
842.079	14:02.08	over here and replay the current
844.320	14:04.32	continental drift. This is an internal
846.800	14:06.80	record that it's keeping of the latest
848.160	14:08.16	continental drift. One of the inputs you
849.920	14:09.92	have in the program is creating
850.800	14:10.80	earthquakes, and you pick out which way
852.000	14:12.00	you want to push the plates. And, um,
854.480	14:14.48	kind of a high level of control in this
856.079	14:16.08	game.
858.959	14:18.96	This turns off the oceans so you can see
860.959	14:20.96	the ocean floor terrain. Uh we initially
863.600	14:23.60	had this just toggle on and off. We
865.839	14:25.84	found that by animating it um people got
868.560	14:28.56	a much better feel. It's not so much on
870.880	14:30.88	Earth because the continental plate
872.160	14:32.16	boundaries are so distinct, but on other
874.320	14:34.32	planets they got a much better feel by
875.920	14:35.92	actually animating the water going up
877.360	14:37.36	and down.
879.440	14:39.44	This is the uh ocean temperatures.
883.839	14:43.84	It's ocean currents, atmosphere,
886.720	14:46.72	rainfall,
888.399	14:48.40	air currents,
890.320	14:50.32	biome distribution. You'll notice for
892.240	14:52.24	each of these maps, there's a small key
894.000	14:54.00	that appears down here
896.639	14:56.64	showing you how to interpret the colors
898.399	14:58.40	or the vectors.
901.279	15:01.28	Now, one thing about this interface that
904.000	15:04.00	uh we later came back and looked at it
905.680	15:05.68	and kind of said it's so information
908.560	15:08.56	dense. Um, primarily when we were
910.800	15:10.80	designing this game many years ago, uh,
913.199	15:13.20	this was pretty much the standard screen
915.040	15:15.04	size, 640x 480. Um, since then, standard
918.399	15:18.40	screen size has gotten much bigger. At
920.079	15:20.08	that time, we were very concerned with
921.519	15:21.52	information density. How much could we
923.040	15:23.04	display without the user having to bring
924.639	15:24.64	up another window or uh, obscure what
927.360	15:27.36	they're seeing. So consequently, most of
930.160	15:30.16	our interfaces came out kind of like
931.839	15:31.84	these uh really fancy car stereoss with
934.560	15:34.56	the billion and a half buttons, you
936.079	15:36.08	know, and uh you know, if you're into
937.839	15:37.84	playing with buttons and all that in the
939.199	15:39.20	showroom floor, it's really fun to play
940.399	15:40.40	with, right? You know, it's got all
941.440	15:41.44	little buttons and modes and lights and
943.199	15:43.20	but then you're driving down the road
944.240	15:44.24	and you just want to hear music, okay?
946.000	15:46.00	So, you get totally lost with all the
948.000	15:48.00	buttons. Um
950.480	15:50.48	after finishing this program, I started
952.240	15:52.24	feeling that, you know, this was kind of
953.360	15:53.36	the fancy car stereo. Maybe we could
954.959	15:54.96	have been a little less dense on it. But
956.959	15:56.96	part of that again was pulled in by the
958.880	15:58.88	simulation design. You know, everything
960.160	16:00.16	in here is supporting the simulation and
961.680	16:01.68	what we were trying to do with that. So
963.199	16:03.20	perhaps that's as much a criticism of
964.880	16:04.88	the simulation as anything else.
967.680	16:07.68	So on that theme down here where the key
970.320	16:10.32	is to maximize what we can do in this
973.120	16:13.12	window, we have a toggle for that. Even
975.920	16:15.92	if we toggle it to this, what we're now
977.519	16:17.52	getting is a overtime graph of the map
980.160	16:20.16	that we're currently seeing up here. So
982.399	16:22.40	right now we're seeing the biome map up
984.000	16:24.00	here. And this is the uh current biomass
986.880	16:26.88	of the planet. Um I'm just starting the
989.120	16:29.12	model. So all these are coming up from
990.399	16:30.40	zero right now. This is the average air
992.639	16:32.64	temperature across the planet,
995.440	16:35.44	rainfall, etc. So the buttons up here
998.959	16:38.96	along the top basically are all data
1001.920	16:41.92	output for the player. There are certain
1005.279	16:45.28	things associated with each of these
1006.959	16:46.96	fields that are global. And you can
1009.120	16:49.12	double click for instance on this one
1010.639	16:50.64	which is the biome map. And here you get
1013.759	16:53.76	a global readout of the uh ratios of
1017.680	16:57.68	biomes on the planet. This is like
1019.199	16:59.20	grassland to forest to jungle to swamp
1021.440	17:01.44	to desert. Um same with the other ones.
1023.680	17:03.68	If this is the uh life form display,
1025.679	17:05.68	diversity display. I double click on
1027.120	17:07.12	that. I get global readings on the
1030.640	17:10.64	different life forms on the planet.
1033.600	17:13.60	So we've tried to collapse most of the
1035.600	17:15.60	uh information that you can get from the
1037.280	17:17.28	simulation on a global side up here on
1039.919	17:19.92	the top row. Now on the bottom row, we
1041.839	17:21.84	have these buttons. We have geosphere,
1043.439	17:23.44	atmosphere, biosphere, uh, civilization.
1047.199	17:27.20	These are the global inputs the player
1048.880	17:28.88	has. So we have on the top here again
1052.640	17:32.64	the outputs. The bottom here the inputs.
1055.120	17:35.12	These are the factors that the player
1057.280	17:37.28	can control. I can grab the axle tilt of
1059.280	17:39.28	the earth and right here I can start
1061.280	17:41.28	moving it around causing chaos. I can
1064.000	17:44.00	bring up the meteorite impacts. I can
1066.320	17:46.32	increase the continental drift rate. Um,
1069.919	17:49.92	these are rather major uh, inputs for a
1072.720	17:52.72	game, but it was kind of aiming high.
1076.080	17:56.08	The, uh, one of the things that we've
1077.840	17:57.84	tried pretty hard at, I think we've been
1080.320	18:00.32	pretty successful at is keeping numbers
1082.320	18:02.32	out of the user's face. So, whenever
1084.799	18:04.80	possible, we do things graphically. So,
1087.280	18:07.28	uh, just notice in here how few numbers
1088.960	18:08.96	you see, but yet we're trying to display
1091.039	18:11.04	a lot of information about the planet.
1093.760	18:13.76	Now the local side we have the same kind
1096.960	18:16.96	of things. Um
1099.840	18:19.84	we have down here mostly the information
1103.200	18:23.20	output except it's here it's mostly uh
1105.919	18:25.92	organized as filters. So this is turning
1108.160	18:28.16	off the ocean. This is turning off the
1109.600	18:29.60	biome display, the city display.
1114.480	18:34.48	These up here are the inputs. These are
1116.640	18:36.64	new life forms I can drop down or
1118.320	18:38.32	cities. Can put dinosaurs in North
1120.400	18:40.40	America.
1122.400	18:42.40	Um, I can raise and lower terrain with
1124.320	18:44.32	this. Uh, I can just grab and move
1126.480	18:46.48	things with this. I can move a dinosaur
1127.760	18:47.76	to South America.
1129.840	18:49.84	Um, these are events I can actually
1131.840	18:51.84	drop. Uh, this is really where most of
1133.760	18:53.76	the control to the player comes in the
1135.280	18:55.28	game. Um, I can, you know, drop a
1137.360	18:57.36	meteorite in the Atlantic
1141.919	19:01.92	causing tidal waves and destruction.
1145.679	19:05.68	I can pick out an earthquake and
1148.960	19:08.96	change the uh vector of the plate
1150.480	19:10.48	boundary.
1153.440	19:13.44	So, these are the kind of things that
1154.559	19:14.56	the player does in this game. Um, I want
1158.000	19:18.00	to talk a little bit in each interface I
1159.440	19:19.44	show you here about the help system
1160.400	19:20.40	because our help systems have kind of
1161.760	19:21.76	evolved over the years. We've tried and
1164.160	19:24.16	tried and tried and we never can get
1165.360	19:25.36	people to use them basically is what the
1167.120	19:27.12	short story here. Um, in this one, the
1169.679	19:29.68	shift key turns the icon into a help
1172.799	19:32.80	icon. And any button or control you
1174.960	19:34.96	click on
1176.640	19:36.64	will come up with a description. Now, uh
1180.240	19:40.24	I know this is really standard stuff
1181.919	19:41.92	now, but this program was designed oh
1185.360	19:45.36	about seven years ago. So, back then
1187.760	19:47.76	there weren't that many established.
1189.280	19:49.28	This is before balloon help. This is
1190.799	19:50.80	before the little pop-up stuff and
1192.240	19:52.24	windows and all that. So, we didn't
1194.240	19:54.24	really have any established thing to uh
1196.160	19:56.16	to go by there.
1198.320	19:58.32	The uh down here you can see it's a very
1201.520	20:01.52	confusing display which is why we put
1204.320	20:04.32	all these in. What basically the users
1206.320	20:06.32	ended up doing was turning off most of
1208.080	20:08.08	the displays when they were trying to
1209.360	20:09.36	deal with a certain problem and then uh
1212.480	20:12.48	dealing with it on a local or global
1214.240	20:14.24	level. Very rarely did they have all
1216.000	20:16.00	these displays on. We can also turn on
1218.640	20:18.64	overlay things like the heat rainfall
1220.400	20:20.40	maps on top of this which uh makes it
1223.120	20:23.12	even more confusing.
1225.919	20:25.92	Now the time scales was one of the major
1229.120	20:29.12	intents of this program. So I'm going to
1232.000	20:32.00	start a new planet here.
1235.200	20:35.20	This game actually runs at four time
1236.720	20:36.72	scales. What we call the geologic, time
1238.559	20:38.56	scale, evolution, civilized and
1240.320	20:40.32	technology. We were trying to show how
1242.240	20:42.24	the changes on the earth have
1243.520	20:43.52	accelerated over time uh based on the
1246.480	20:46.48	life primarily. So in this game, it runs
1248.720	20:48.72	at the geological time scale until
1250.240	20:50.24	you've evolved
1252.480	20:52.48	multisellular life. And generally it's
1254.720	20:54.72	going by a million years at a click and
1256.799	20:56.80	then at some point you evolve
1258.159	20:58.16	multisellular life and then it slows
1259.760	20:59.76	down and it starts going by a few
1261.840	21:01.84	hundred thousand years at a click. And
1263.280	21:03.28	then once you've evolved intelligent
1264.880	21:04.88	life, which is not necessarily mammals,
1266.799	21:06.80	it could be radiates or reptiles or
1269.120	21:09.12	whatever in this game. Uh it slows down
1271.039	21:11.04	again. Each one of these is dealing with
1273.600	21:13.60	different factors. uh the simulation
1276.080	21:16.08	itself changes depending on what time
1277.840	21:17.84	scale you're working at. We had a hard
1279.600	21:19.60	time communicating this to the user
1282.159	21:22.16	except through time. I mean they would
1283.520	21:23.52	only really get the sense of this as
1284.799	21:24.80	they played through the whole game. But
1286.559	21:26.56	we did try to organize the the uh
1288.640	21:28.64	interface to support this. For instance,
1290.960	21:30.96	I can start a planet here. Starting a
1292.720	21:32.72	random planet.
1295.039	21:35.04	This is roughly when Earth began. It's
1296.880	21:36.88	really redot. Uh we're getting a lot of
1299.120	21:39.12	meteorite impacts. The continents are
1300.880	21:40.88	drifting around. Um, the oceans will
1303.360	21:43.36	form soon as the water condenses out of
1306.240	21:46.24	the atmosphere, as the planet's cooling.
1308.480	21:48.48	Um, down here at the bottom, the
1311.200	21:51.20	information displays I showed you
1312.400	21:52.40	before, we basically organize those
1315.200	21:55.20	according to time scale. So, here we're
1318.720	21:58.72	evolving very quickly. The kind of
1320.960	22:00.96	events we're getting, meteorite impacts,
1322.480	22:02.48	this is showing us uh tidal waves,
1324.720	22:04.72	meteorites, major volcanic eruptions.
1327.440	22:07.44	Um, continental drift map you can see is
1329.440	22:09.44	changing very quickly here. So roughly
1331.200	22:11.20	the icons on the bottom here are
1332.880	22:12.88	organized from the things that occur
1334.880	22:14.88	over the longest time scales on the left
1337.919	22:17.92	to the things that occur over the
1339.120	22:19.12	shortest time scales on the right. See
1340.720	22:20.72	on the right here we have civilization.
1342.480	22:22.48	So basically as the game is progressing
1344.159	22:24.16	and you're advancing, if you start with
1345.760	22:25.76	a a scratch planet like this, you're
1347.760	22:27.76	trying to evolve life and promote it to
1349.600	22:29.60	higher intelligence. Your focus will
1352.000	22:32.00	actually be moving down this row. As you
1354.320	22:34.32	move to the evolution time scale, the
1356.000	22:36.00	climate model will get uh higher
1357.600	22:37.60	fidelity and you'll start concerning
1359.280	22:39.28	yourself with these factors. As life
1361.120	22:41.12	evolves, you'll start concerning
1362.159	22:42.16	yourself with the biomes and the life
1364.000	22:44.00	forms. So basically what we were trying
1367.600	22:47.60	to do here and maybe I'll get right now
1370.480	22:50.48	a little bit oh before I do that let me
1372.240	22:52.24	show you a few more windows because this
1374.559	22:54.56	has a little bit to do with my u
1376.640	22:56.64	postmortem.
1378.480	22:58.48	Let me pause the model for a second.
1382.240	23:02.24	other model other uh windows we have in
1384.000	23:04.00	here. We have a history window which has
1386.720	23:06.72	all the same factors collapsed on a
1388.559	23:08.56	history graph.
1390.640	23:10.64	We have reports which will give you a
1392.559	23:12.56	report on the current state of the
1393.760	23:13.76	planet based on your goals. And then we
1396.480	23:16.48	have
1398.240	23:18.24	our little guy window.
1401.679	23:21.68	Now this this is our first stupid
1403.280	23:23.28	attempt at an agent-based interface. Uh
1406.799	23:26.80	we after we basically this this product
1409.600	23:29.60	uh grew through recretion. Okay. Okay,
1411.120	23:31.12	so we started with a simple little
1412.159	23:32.16	climate model. Said, "Oh, that's cool.
1413.679	23:33.68	Let's put in a continental drift model.
1415.280	23:35.28	Oh, that's cool. Let's put in an
1416.480	23:36.48	evolution model. Oh, that's cool. Let's
1418.000	23:38.00	put in a civilization model." So, of
1420.240	23:40.24	course, us as the designers, you know,
1421.840	23:41.84	it made a lot of sense. We were layering
1423.280	23:43.28	this model and it was building and
1424.799	23:44.80	everything was resting on layers below
1426.480	23:46.48	it and all made sense. But now, we
1428.880	23:48.88	showed this to new users, you know, who
1430.880	23:50.88	were looking to buy some quick
1432.559	23:52.56	entertainment, right? And they look at
