start_sec	end_sec	text
248.840	252.320	no not really
250.340	255.320	I've been encouraging him to basically
252.320	260.510	interrupt me at every stage overcome his
255.320	264.740	English reserve show up that's the
260.510	267.650	spirit we're going to talk and interrupt
264.740	270.500	each other for about an hour and then
267.650	272.270	there will be questions which I think
270.500	275.210	you know to write down on pieces of
272.270	278.660	paper which will be thrown away at the
275.210	280.370	back of the room and then Stewart will
278.660	287.450	ask the questions he want to ask us
280.370	288.680	anyway now you know okay I'd have to say
287.450	291.350	what an honor it is actually to share
288.680	293.450	the stage with Brian whose work has been
291.350	297.850	just very inspirational to me for as
293.450	297.850	long as I can remember so thank you
301.559	305.650	can i reciprocate that I think so I'm
304.300	307.300	gonna do some boring PowerPoint at the
305.650	309.729	beginning of the talk and I think
307.300	313.289	Brian's gonna score my boring PowerPoint
309.729	316.539	with very interesting experimental music
313.289	317.949	so you know I actually just got back in
316.539	319.029	town recently a few days ago and I was
317.949	320.379	trying to remember what time the talk
319.029	322.870	was and so I went to the website the
320.379	327.069	long now foundation and saw the talk was
322.870	328.240	Friday June 26 which consulting my
327.069	332.349	calendar I found that those two things
328.240	334.509	were incompatible an ironic for an
332.349	340.419	organization whose sole Charter is to
334.509	342.249	chart this passage of time but when when
340.419	343.599	you're dealing with 10,000 years a few
342.249	346.930	days doesn't really make that much good
343.599	348.810	yeah so I think we're missing half the
346.930	352.839	audience that probably came here Friday
348.810	354.580	but so I wanted to start just a little
352.839	356.199	bit just by delving into compression a
354.580	358.180	bit because I think a lot of what we're
356.199	360.580	gonna talk about this is underlying it
358.180	367.169	and I know that all of you find the idea
360.580	369.699	of compression just fascinating but
367.169	371.110	really it's the basis of a lot of really
369.699	372.639	interesting systems in fact you know
371.110	374.379	what we know is science is really
372.639	375.759	observing the natural world around us
374.379	377.469	you know all the data that we can see
375.759	378.939	and collect and observe and trying to
377.469	382.149	compress it into the simplest most
378.939	383.469	elegant rule sets possible you know in
382.149	385.149	some sense we even use that as a
383.469	387.370	guidepost you know when Watson and Crick
385.149	388.629	discovered the structure of DNA they did
387.370	389.740	it by building these models in them but
388.629	391.209	they tripped across the idea of the
389.740	392.439	double helix and it was so aesthetically
391.209	395.139	pleasing to them they just kind of knew
392.439	396.639	it was right and games really are just
395.139	398.589	kind of the opposite process we're
396.639	400.810	trying to come up with very very simple
398.589	402.550	rules that we can decompress into these
400.810	404.620	elaborate worlds and I think the kind of
402.550	406.089	work that Brian's doing as well kind of
404.620	407.379	speaks to that looking for very simple
406.089	409.569	systems that can generate really
407.379	413.819	interesting complexity it's it's called
409.569	416.529	laziness really yeah but yes I I suppose
413.819	418.029	the thing that most impressed me one of
416.529	421.120	the musical things that most impressed
418.029	425.080	me in my life was a piece by a composer
421.120	427.389	called Steve Reich which is an extremely
425.080	430.149	simple piece in terms of the inputs and
427.389	431.649	the system it's it's two two loops of
430.149	432.180	tape that run out of phase with each
431.649	435.080	other
432.180	438.930	get progressively more out of phase and
435.080	441.289	thus generator a very complex piece of
438.930	443.850	music and I was so impressed that
441.289	446.340	something so simple could create
443.850	446.699	something so powerful when did you do
446.340	450.660	that
446.699	454.110	that was 1964 I think that piece it was
450.660	456.690	called it's gonna rain and it's the
454.110	460.139	amount of actual sonic material in the
456.690	462.419	piece is 1.8 seconds long but the piece
460.139	464.009	is 30 minutes long or something like
462.419	466.680	that oh really so we're the duration of
464.009	470.759	the two pieces well it's the same loop
466.680	472.349	on two machines 1.8 seconds long and one
470.759	476.099	machine runs slightly slower than the
472.349	477.330	other so gradually they the relationship
476.099	480.419	between the two loops
477.330	482.580	shifts and in fact that's been the basis
480.419	484.650	of a lot of the music I've done since
482.580	486.960	then music for airports for example was
484.650	489.180	based on that idea and a lot of the
486.960	491.880	ambient music is based on this notion of
489.180	493.470	instead of trying to design a piece from
491.880	495.599	the top down which is what you normally
493.470	497.250	think of as composition you know you
495.599	498.630	have the whole piece in your mind and
497.250	501.300	then you sort of build it all like an
498.630	503.280	architect makes a building this is this
501.300	504.990	is more like a gardener you you have a
503.280	507.510	seed and you plant it and you see what
504.990	509.430	happens you know so so when that seed
507.510	513.360	comes out and it's not what you like or
509.430	514.800	you explain you I mean yeah so it's much
513.360	516.900	more of the process of discovery rather
514.800	518.550	than composition or engineering yes and
516.900	520.650	you're sort of in the same position as
518.550	522.180	an audience actually because you're
520.650	524.790	you're listening to the music for the
522.180	527.580	first time as well so so the music is
524.790	530.459	generating itself anew for you the
527.580	532.290	listener as well as for the audience so
530.459	534.180	it's it puts the composer in an
532.290	536.550	interesting new relationship to the
534.180	539.279	music I think yeah I mean I think as a
536.550	540.720	creator it also puts a big challenge on
539.279	543.120	you because now you're in the process of
540.720	546.060	exploring rather than engineering or
543.120	548.310	sculpting yeah so you have to care about
546.060	550.890	your inputs and your systems a lot more
548.310	552.480	since since you aren't designing the
550.890	555.060	whole thing you are not specifying in
552.480	557.480	detail the whole thing you're making
555.060	560.880	something that by definition is going to
557.480	562.380	generate itself in a different way at
560.880	563.640	different times so yeah we see that a
562.380	564.750	lot with simulations because we're
563.640	565.220	always looking for a very simple rule
564.750	567.680	structure
565.220	569.269	we build into prototypes and we just try
567.680	570.860	to long and see what happens and then
569.269	572.899	from there we will start modifying them
570.860	574.910	and it's very much the process of
572.899	576.709	surprising discovery mm-hmm and it's so
574.910	577.970	not longer it's so counterintuitive that
576.709	580.519	it's very difficult to kind of have an
577.970	582.170	end result mind as a target and then
580.519	584.000	shoot for that it's actually far more
582.170	586.069	productive to just kind of experiment
584.000	587.899	and let the results of those experiments
586.069	589.339	kind of present opportunities to you
587.899	590.629	yeah you know that oh that's really cool
589.339	592.759	you know I never would in a million
590.629	594.439	years have thought to go there but these
592.759	597.019	simple rules brought me there mm-hmm
594.439	598.759	yeah well this this is sort of a new way
597.019	601.100	of being an artist really I mean it's
598.759	604.220	not so new now people have been doing it
601.100	606.230	for 30 or 40 years but to to make it
604.220	608.000	explicit and say this is what I do and
606.230	609.740	to own up to the fact that what you're
608.000	612.170	doing is making seeds rather than
609.740	614.149	forests you know yeah letting the forest
612.170	616.389	grow themselves so I thought we would
614.149	619.189	delve into this generative systems
616.389	620.480	across a broad range of topics here you
619.189	623.420	know kind of one of the preeminent ones
620.480	625.189	is biology and this is one that we're
623.420	627.350	very familiar with a Richard Dawkins a
625.189	629.389	biologist estimated that typical willow
627.350	632.059	seed actually only contains contains
629.389	633.670	about 800 km data which is enough to fit
632.059	635.750	on like one of the old floppy disks
633.670	637.160	which is really amazing when you imagine
635.750	639.410	all the trillions of atoms and all the
637.160	640.910	complexity in a willow tree that the
639.410	645.259	genome of it compresses down to that
640.910	647.180	small it's very powerful ratio there it
645.259	649.699	also we see examples of this in things
647.180	651.079	like behavioral sciences you know ants
649.699	653.209	have very simple rules but when you
651.079	655.930	combine those simple rules they display
653.209	659.809	amazingly elaborate intelligent behavior
655.930	661.189	spirograph is a great example one of the
659.809	663.139	most understandable examples you know
661.189	664.879	using simple geometry but another
663.139	666.709	another example of a very simple
664.879	668.870	generator system like that is wind
666.709	670.730	chimes of course that's a that's a
668.870	672.559	generative system that oh yeah I think
670.730	675.050	we don't take very seriously but in fact
672.559	677.629	in fact that's like the first generative
675.050	680.509	music do you think I think it probably
677.629	682.040	is yeah okay only an Aeolian half is
680.509	683.240	probably the first one actually it's an
682.040	685.250	interesting question I mean do draw a
683.240	688.100	distinction between let's say randomly
685.250	689.930	generated music like wind chimes and
688.100	691.430	algorithmically generated where there
689.930	694.730	are some deterministic rule underneath
691.430	695.959	the system well it's one part of course
694.730	697.089	of the wind chime thing the most
695.959	699.339	important part isn't
697.089	702.490	random which is the pitch of the notes
699.339	705.279	the notes oh so the only random part is
702.490	707.499	when they when they occur and how they
705.279	710.499	cluster together and that sounds
707.499	714.160	generative to me have you done systems
710.499	716.259	that involve more randomness yes what in
714.160	720.220	the sand itself or in the selection of
716.259	722.829	the nodes yes yes so I've experimented
720.220	726.189	with all sorts of forms of randomness
722.829	728.230	and I found that I nearly always end up
726.189	729.430	constraining it quite a lot it seems
728.230	730.779	like it's some level complexity you
729.430	732.279	wouldn't even be able to determine
730.779	734.189	whether it was random or there was a
732.279	738.639	very complex algorithm underneath and
734.189	740.649	that's that's true yes they become
738.639	741.910	functionally identical because it seems
740.649	743.740	like a lot of the aesthetic for music
741.910	746.079	involves patterns repeating patterns
743.740	748.240	that listener can kind of start to
746.079	751.540	identify and anticipate as they're
748.240	755.170	coming up well that's what I call
751.540	757.959	narrative music that's true but in in
755.170	759.519	the 70s I came up with this word for a
757.959	761.139	kind of music that more and more people
759.519	763.389	were starting to do which I called
761.139	764.949	ambient music and that was quite a
763.389	766.829	different idea that was the idea of
764.949	770.319	music as a sort of steady state
766.829	772.540	condition that you entered stayed in for
770.319	775.899	a while and then left okay so as music
772.540	777.370	as painting more than as narrative so it
775.899	780.009	doesn't have beginning it doesn't have
777.370	783.759	development it doesn't have climaxes
780.009	785.949	particularly it's it's closer to sitting
783.759	787.360	by a river than watching an orchestra
785.949	789.009	for example yeah I actually spend a lot
787.360	790.329	of time listening to your albums during
789.009	792.939	ambient albums and I found them
790.329	794.350	interesting because it was a whirl of
792.939	795.790	them in a very subconscious level
794.350	797.079	it wasn't like most music where you're
795.790	798.519	hearing it you're thinking about it and
797.079	800.139	kind of starting to kind of get into the
798.519	801.579	rhythm and stuff but it would just
800.139	802.540	totally change the perception the world
801.579	805.059	around you without you even realizing
802.540	808.540	that it was your audio system doing that
805.059	811.990	it seemed almost subconscious and you
808.540	814.540	stayed awake yeah actually do a lot of
811.990	816.069	work to it you know the other music was
814.540	817.179	just like where on me after a while but
816.069	818.679	the ambient stuff is giving to this
817.179	820.360	trance-like state in fact it was
818.679	822.939	interesting because it brought me into
820.360	823.360	this relaxed trance-like state but kept
822.939	825.970	me
823.360	829.110	somehow kept my brain active in a area
825.970	831.240	that I wasn't even aware of yeah well
829.110	833.280	I think some of that music came out of
831.240	835.620	trying to find something I could listen
833.280	838.950	to while I was trying to work alright
835.620	840.900	yeah okay so you did like your other
838.950	842.430	music notes too while you were working
840.900	844.410	to attention-grabbing
842.430	846.390	mmm you know it's designed to grab your
844.410	847.530	attention exactly in that part of the
846.390	849.480	brain is what you want to apply to your
847.530	851.850	creative work yeah you know and somehow
849.480	853.470	it keeps that part of the brain fed you
851.850	855.210	better go in with that okay loads of
853.470	856.560	slides right yeah we do we're never
855.210	857.820	gonna get to spool or otherwise yeah
856.560	862.860	fractals rattles
857.820	864.660	you've seen these L systems yeah yeah
862.860	865.490	this is the boring PowerPoint part of
864.660	867.510	the lecture
865.490	870.450	all systems are actually an interesting
867.510	873.600	form like fractals that allow us to
870.450	875.610	generate very organic looking shapes and
873.600	877.440	they come in a variety of kind of styles
875.610	878.760	but it's actually quite amazing that
877.440	880.620	there are patterns embedded in this that
878.760	882.770	you can clearly see but the same time
880.620	886.890	there's a very organic nature to them
882.770	889.140	these are more l-system things a lot of
886.890	890.220	art I tend to think of as generative you
889.140	892.830	know where artists will use very
890.220	894.450	primitive elements but in combination
892.830	896.550	they evoke totally different feelings
894.450	899.850	much more complex forms you know my
896.550	901.590	favorite painting Kandinsky yeah even in
899.850	902.820	design we're starting to see more people
901.590	904.890	will use generative system cristal
902.820	907.200	examiner's work is very much about this
904.890	909.270	how he looks for patterns rules grammars
907.200	911.820	to apply to design there are other
909.270	913.710	things known as shape grammars which are
911.820	915.570	being used in things like architecture
913.710	917.940	and industrial design these are ways of
915.570	919.650	applying transformations to certain
917.940	920.910	design rules to generate new designs
919.650	923.340	that you can then go through and prune
920.910	925.170	and kind of score for efficiency when
923.340	927.180	you do music and you're coming up with
925.170	928.710	these rules there must be some process
927.180	930.750	of you playing with the rule set
928.710	932.430	listening to it saying I don't like that
930.750	934.800	playing with rule set again so basically
932.430	936.810	pruning out the rules you don't like to
934.800	941.760	zero in on the rules you do like yes
936.810	943.590	exactly and and finding out that one
941.760	945.780	always in client is inclined as a
943.590	949.200	composer to put more in than you need as
945.780	950.730	a listener so so one of the very good
949.200	951.780	things about working on this is that
950.730	954.390	there's a speed control
951.780	956.790	oh so you listen to these things in
954.390	959.010	first board I work on them much faster
956.790	961.560	than I end up releasing them Jeff oh
959.010	962.579	really yeah and in the days of analog
961.560	964.739	tape that a lot of the
962.579	967.769	music I released was released at half
964.739	968.910	the speed I recorded it there's like
967.769	970.619	people doing the film editing we're
968.910	971.850	always living through the thing on this
970.619	973.739	is the opposite of what people do on
971.850	976.739	television where they always accelerate
973.739	979.319	you know hmm I find with music if you're
976.739	982.559	making it you always tend to fill the
979.319	984.779	gaps you want to paint the whole picture
982.559	987.509	but if you're listening you you actually
984.779	989.100	want a lot less than that so I do that
987.509	990.509	the simplest way it's just by slowing it
989.100	993.629	all down you should release an album
990.509	996.389	with all the speeded up versions this is
993.629	998.189	as Brian heard it while composing it the
996.389	1006.199	amphetamine version right yeah really
998.189	1007.819	I'm Fetterman ambient jazz we see
1006.199	1009.319	generative systems in psychology you
1007.819	1011.540	know it's amazing how humans can see
1009.319	1013.009	patterns and almost anything and we're
1011.540	1014.839	always searching for these patterns even
1013.009	1016.879	if they don't actually exist
1014.839	1018.319	and we've even engineered things you
1016.879	1020.239	know that kind of bring us more into
1018.319	1022.660	meditative spiritual realms that in some
1020.239	1025.459	sense regenerative systems for the mind
1022.660	1027.230	and games of course are a great example
1025.459	1029.299	this is my favorite game of all time go
1027.230	1030.949	which has two simple rules but yet the
1029.299	1032.659	strategy is just amazing the way it
1030.949	1034.909	unfolds in kind of very unpredictable
1032.659	1037.039	ways and you know this is one of the
1034.909	1039.740	clearest examples of generative systems
1037.039	1043.370	and emergence that I've ever seen this
1039.740	1045.319	this game by the way there's a book by
1043.370	1048.830	Frances Fitzgerald called fire over the
1045.319	1051.529	lake about the war in Vietnam and she
1048.830	1054.260	once interviewed of Vietcong general
1051.529	1056.450	after the war and she said why do you
1054.260	1059.360	think you were so successful he said
1056.450	1062.779	well the Americans are playing chess but
1059.360	1064.429	we were playing go and that really
1062.779	1066.679	captures the difference between the two
1064.429	1068.450	games goes about a hundred times more
1066.679	1070.730	complex than chess really in terms of
1068.450	1072.139	the range of strategy yeah and in fact
1070.730	1073.100	the compression ratio between the
1072.139	1075.710	simplicity of the ruleset
1073.100	1076.880	and the depth of the strategy for here
1075.710	1080.240	it's just an amazing ratio I think that
1076.880	1081.980	ratio is interesting in the entire world
1080.240	1083.750	around us looking at like the DNA versus
1081.980	1085.279	you know the willow seed and the willow
1083.750	1087.529	tree you know that compression ratio
1085.279	1092.000	indicates a certain level of generative
1087.529	1093.470	system you know and emergence a lot of
1092.000	1094.550	that is based upon symmetry that you see
1093.470	1097.730	in a lot of different ways
1094.550	1099.230	and symmetrical operators rules when
1097.730	1101.179	we're building models on the computer
1099.230	1103.820	you know a lot of these become games and
1101.179	1105.590	in some sense you know models are
1103.820	1107.450	abstractions of reality and what they
1105.590	1108.470	kind of remove is interesting they're
1107.450	1110.090	only presenting you with relevant
1108.470	1112.580	information when I do a game I actually
1110.090	1114.230	build physical models of the stuff when
1112.580	1115.940	I did a game called The Sims involved
1114.230	1116.809	this screen of the neighborhood and one
1115.940	1118.370	of the first things I did was actually
1116.809	1121.790	go build a physical model of it out of
1118.370	1123.640	like model train materials and that
1121.790	1126.110	abstraction is kind of interesting to me
1123.640	1128.660	we abstract things not just spatially in
1126.110	1130.850	games but also in time you know time is
1128.660	1133.370	something that you can play with on
1130.850	1134.570	computers and interactive systems in a
1133.370	1136.910	totally different way than you ever get
1134.570	1138.500	the opportunity in reality one of the
1136.910	1140.960	most important things about games is the
1138.500	1142.520	fact that they have you know restart you
1140.960	1143.780	can replay the same situation over and
1142.520	1145.820	over from the exact same starting
1143.780	1147.440	position which you never get the
1145.820	1148.790	opportunity to do that in reality then
1147.440	1151.190	some sense I guess regenerative music is
1148.790	1152.360	the same way well this this is one of
1151.190	1155.210	the very interesting things about
1152.360	1156.860	generative music that you can start it
1155.210	1158.809	again and it unfolds differently and
1156.860	1161.630	this is this is very fascinating because
1158.809	1163.429	it it implies a sort of space of
1161.630	1165.320	possibilities that you gradually become
1163.429	1167.690	familiar with so instead of becoming
1165.320	1170.120	familiar as you normally do with a piece
1167.690	1173.179	of recorded music with this particular
1170.120	1175.340	story you become familiar with a sort of
1173.179	1177.410	envelope of possible stories that the
1175.340	1179.059	music might unfold along yeah in fact
1177.410	1180.470	that's exactly the same thing happens in
1179.059	1182.690	games you know the players are kind of
1180.470	1186.030	exploring raesha snakes exactly
1182.690	1193.450	illustrates what I just said yeah
1186.030	1195.730	you must be on the same wavelength in
1193.450	1196.990	games you know the computer actually
1195.730	1198.820	when it's playing chess is actually
1196.990	1201.100	analyzing every possible move that you
1198.820	1202.750	might make and it might make and it's in
1201.100	1205.360	fact building a map of all the possible
1202.750	1206.500	moves up to some level of depth that
1205.360	1210.370	might happen in the game and that's how
1206.500	1212.050	computer a eyes work and even board
1210.370	1213.490	games in some sense become a map of the
1212.050	1215.410	possibility space you know all the
1213.490	1217.510	different spaces on that board indicate
1215.410	1218.980	states that you can be in in this game
1217.510	1221.890	most people just don't think of it as a
1218.980	1223.890	map really in that sense we can think of
1221.890	1226.990	our games as these in fact very
1223.890	1228.190	elaborate landscapes where there's
1226.990	1230.950	terrain and the Train might represent
1228.190	1232.690	challenge difficulty some areas are very
1230.950	1234.100	you know smooth slopes that you can
1232.690	1235.360	climb up very gradually other ones are
1234.100	1238.030	steep cliffs that are incredibly
1235.360	1239.470	challenging the hip so there's in some
1238.030	1241.750	sense of friction to the possibility
1239.470	1242.530	space in an interactive experience and I
1241.750	1244.570	guess when you're working on music
1242.530	1245.890	there's a certain amount of probability
1244.570	1247.720	that you might enter certain regions of
1245.890	1250.870	that possibility space certain regions
1247.720	1252.580	may be more probable than others yes I I
1250.870	1254.500	remember one very funny thing that
1252.580	1257.830	happened once I to use a particular
1254.500	1259.660	generative piece for all of my sound and
1257.830	1263.080	light installations for many many years
1259.660	1266.200	and I must have listened to that piece
1263.080	1268.840	for thousands of hours unfolding in its
1266.200	1270.670	various different ways and I was setting
1268.840	1273.670	up a show in Venice once with my
1270.670	1275.080	assistant and it was late at night and
1273.670	1276.700	we were setting out it was that the show
1275.080	1281.160	was due to open the next day and
1276.700	1288.670	suddenly the beginning of Tammy Wynette
1281.160	1290.710	divorce so a pure chance
1288.670	1293.620	pure trance yes the thing had suddenly
1290.710	1295.840	clustered together to produce the first
1293.620	1298.660	couple of bars of divorce and we're both
1295.840	1302.770	very tired and we looked up and just
1298.660	1304.850	fell on the floor laughing it was so it
1302.770	1307.940	never happened again
1304.850	1309.410	we just didn't listen long enough dr.
1307.940	1311.450	nerse because that kind of implies the
1309.410	1312.920	vast space that music you know occupies
1311.450	1314.630	the fact that it took that long just to
1312.920	1316.580	hear one tune out of the thousand one
1314.630	1318.800	tune that I recognize that several
1316.580	1320.750	thousand dollars yeah so they're kind of
1318.800	1323.180	implies that composers are finding this
1320.750	1324.950	very small amount of listenable space
1323.180	1327.080	yeah within this vast you know
1324.950	1331.280	astronomically large sea of potential
1327.080	1332.930	sounds yeah and it's as you know
1331.280	1335.630	whenever you think of a space like that
1332.930	1337.340	and you think of the possibilities that
1335.630	1338.870	have been explored so far you
1337.340	1340.760	immediately start to think of all the
1338.870	1342.680	ones that haven't been explored like if
1340.760	1345.200	you think of the space of all possible
1342.680	1346.640	seashells and then you think of the
1345.200	1349.430	number that have actually been explored
1346.640	1351.050	it's a very small part of that right and
1349.430	1353.090	you want either that to I mean there's a
1351.050	1354.650	quality rating so most of the random
1353.090	1355.550	compositions you can make probably sound
1354.650	1357.440	awful
1355.550	1360.710	correct and so you're looking for this
1357.440	1363.170	region of yes quality since yes you want
1360.710	1364.700	to be on the cusp where it's where it
1363.170	1367.880	doesn't sound random but it doesn't
1364.700	1370.190	sound too obviously too predictable
1367.880	1372.520	it doesn't unfold like you expect it to
1370.190	1375.140	but it doesn't unfold in an entirely
1372.520	1377.480	unexpected and disconnected way either
1375.140	1379.180	so you explained this huge space it
1377.480	1382.700	makes me wonder if there's any no
1379.180	1384.860	algorithmic solution to at least find
1382.700	1385.970	some rough measure of quality so you're
1384.860	1388.310	not having to sit there and listen for a
1385.970	1390.530	thousand hours to get a sense of you
1388.310	1392.600	know the quality of the entire range on
1390.530	1394.460	that system well that's a moving target
1392.600	1396.590	you see because whenever you listen to a
1394.460	1399.190	piece of music you
1396.590	1401.720	you really are listening to the latest
1399.190	1403.190	word in a conversation that you've been
1401.720	1405.440	having ever since you started listening
1403.190	1407.690	to music you know you hear every other
1405.440	1410.990	piece in the piece you are listening to
1407.690	1413.330	at that moment so as your taste changes
1410.990	1414.800	and your experience changes that target
1413.330	1417.680	will change all the time I think
1414.800	1420.050	can you imagine as any sort of even this
1417.680	1421.790	first past computational filter that
1420.050	1423.620	would pre listen to the music you know
1421.790	1425.810	analyze the structure look for patterns
1423.620	1428.360	whatever that would at least prune out
1425.810	1430.430	the 90% that you obviously don't want to
1428.360	1432.020	listen to and let you focus you know
1430.430	1436.810	your efforts on the 10% that has some
1432.020	1436.810	promise would you like to work on that
1438.389	1443.889	you just have to give me the algorithm
1440.549	1445.629	I'll get it coated right up for you know
1443.889	1448.210	it's it's funnily enough there's been a
1445.629	1449.559	lot of research into that because um you
1448.210	1453.159	know there are always people trying to
1449.559	1455.049	figure out how you write a hit oh I see
1453.159	1457.929	yeah formalizing something I wouldn't
1455.049	1459.669	mind knowing the hit generator yes sir
1457.929	1461.080	so there's been there's been all sorts
1459.669	1464.320	of attempts to do that but they've
1461.080	1465.899	they've been astoundingly unsuccessful
1464.320	1468.639	so far yeah I can imagine
1465.899	1471.519	difficulty unsuccessful in fact they're
1468.639	1474.610	almost there almost formulas for doing
1471.519	1476.289	the opposite oh really yes also they
1474.610	1477.820	were interesting in that respect thing
1476.289	1479.470	that they they're they're
1477.820	1481.779	counterproductive it sounds colleague
1479.470	1482.889	stock trading programs yes yes you know
1481.779	1484.869	you're hitting this you know moving
1482.889	1487.330	target that you know in so many
1484.869	1489.850	dimensions at once yeah very good sorry
1487.330	1491.440	oh yeah I know we've got you all right
1489.850	1494.080	there's gonna wrap us over the knuckles
1491.440	1495.610	if we have these possibility spaces the
1494.080	1497.289	players are navigating and in some sense
1495.610	1499.179	as designers we even think about we're
1497.289	1501.490	engineering these possibility spaces in
1499.179	1503.259	a very kind of abstract sense in the
1501.490	1505.240	sims we actually had two main dimensions
1503.259	1506.950	that the player would kind of pursue as
1505.240	1508.749	a goal state well he's a material
1506.950	1510.999	success getting larger house better
1508.749	1513.340	career etc and one is social getting a
1510.999	1514.929	larger family more friends really one of
1513.340	1516.879	the players to kind of balance the two
1514.929	1518.499	factors and that would lead to the
1516.879	1520.570	highest level of success in the game
1518.499	1521.830	they could go for one of the other and
1520.570	1523.029	they would end up on a local maximum
1521.830	1525.549	some since the game was very much like
1523.029	1526.960	bowling if you kind of went off to the
1525.549	1528.009	side you'd end up in a gutter and you
1526.960	1529.269	had to get it right down the middle to
1528.009	1531.669	get the highest level of success in the
1529.269	1534.429	game this is actually a map that we made
1531.669	1536.679	of several thousand players playing the
1534.429	1538.269	game across those dimensions and so
1536.679	1539.740	we're actually able to formally capture
1538.269	1541.539	you know players movement through these
1539.740	1544.019	possibility spaces and start to analyze
1541.539	1545.860	kind of where players you know
1544.019	1547.929	coordinating you know coming together
1545.860	1549.490	where are they fanning out in diverging
1547.929	1552.730	and learning a lot of interesting things
1549.490	1554.110	about that I think a lot of times with
1552.730	1555.940	linear storytelling that's what's
1554.110	1558.129	happening as well this is one of my
1555.940	1559.119	favorite scenes from Indiana Jones where
1558.129	1560.470	the beginning of the movie where he's
1559.119	1562.059	running out of the temple with his
1560.470	1563.710	treasure and all these traps are going
1562.059	1565.750	off you know he almost falls into this
1563.710	1566.640	pit this giant bowl mister all rolls
1565.750	1569.399	over him
1566.640	1571.380	and as a viewer I'm imagining every one
1569.399	1572.669	of these things as a possible failure
1571.380	1573.720	state what would happen if the ball
1572.669	1575.580	rolled over and what if you fell in that
1573.720	1577.409	pit what if this trap got him and so
1575.580	1579.600	even though I'm seeing one path through
1577.409	1581.549	that possibility space my imagination is
1579.600	1582.960	filling out all the possibilities that
1581.549	1584.549	could have happened and that is a lot of
1582.960	1586.110	the drama is me understanding the
1584.549	1587.549	possibility space that surrounded him
1586.110	1589.169	and the one particular path he took
1587.549	1591.299	through it and I think that's the
1589.169	1596.669	element of a lot of drama oh now we go
1591.299	1598.380	to stuff stuff yeah stuff at this point
1596.669	1602.309	I think Brian's gonna start playing up
1598.380	1604.200	some music there you go all right we
1602.309	1606.919	thought we'd give a few examples of some
1604.200	1606.919	different systems
1609.990	1614.950	and once you describe what you're
1611.769	1616.460	playing and I will if I can get the
1614.950	1619.789	volume right
1616.460	1623.619	I have to get this balance between the
1619.789	1623.619	way you can hear it yet still here up
1623.940	1629.660	so actually all the pieces I I should be
1626.850	1631.890	playing today I made today because
