seq	para_idx	medium_id	file	caption
48	114	1*F8rW-xF927G7uxzvU1JnEQ.png	048-1-f8rw-xf927g7uxzvu1jneq-png.png	
49	115	1*q-TbG8WESl2R1Rm-OC8TdA.png	049-cool-simearth-screen-snapshots.png	Cool SimEarth Screen Snapshots
50	117	1*XuBEhwquEFk1TXhiwgpwbg.png	050-1-xubehwquefk1txhiwgpwbg-png.png	
51	118	1*mJWmJA1vQ7qOgnXH-e_LAQ.png	051-cool-simearth-screen-snapshots.png	Cool SimEarth Screen Snapshots
52	120	1*xYzLsvHpZzfO7yJ-_XaEYA.png	052-1-xyzlsvhpzzfo7yj-xaeya-png.png	
53	121	1*7D7hv13CEYl0RBUHISF-EQ.png	053-cool-simearth-screen-snapshots.png	Cool SimEarth Screen Snapshots
54	123	1*ocd8FT_CjxsQmVMaBHQbTQ.png	054-1-ocd8ft-cjxsqmvmabhqbtq-png.png	
55	124	1*5EeDiVbi4-WYpCRJO1tGJw.png	055-cool-simearth-screen-snapshots.png	Cool SimEarth Screen Snapshots
56	126	1*9_7s8fnU374jU-ui-jDFsQ.png	056-simant-splash-screen.png	SimAnt Splash Screen
57	128	1*ceRCyl5Tl3btRr-blbKF7g.png	057-1-cercyl5tl3btrr-blbkf7g-png.png	
58	129	1*SmpLxsRldtcBxhlMYkh-WQ.png	058-cool-simant-screen-snapshots.png	Cool SimAnt Screen Snapshots
59	131	1*kP7uoW9MpF_CaMt0I-WC-g.png	059-1-kp7uow9mpf-camt0i-wc-g-png.png	
60	132	1*HCelWLallnoXKfCxChE28w.png	060-cool-simant-screen-snapshots.png	Cool SimAnt Screen Snapshots
61	134	1*x6RTUpn6vep4vqBZx9X8Yg.png	061-1-x6rtupn6vep4vqbzx9x8yg-png.png	
62	135	1*ErDavnNgNmgZCbri3nbdGA.png	062-1-erdavnngnmgzcbri3nbdga-png.png	
63	136	1*r_hCSgkg-FxhQ4DjD8q6XA.png	063-1-r-hcsgkg-fxhq4djd8q6xa-png.png	
64	137	1*PdHI7u9JA9RzWRvrmVuWCA.png	064-cool-simant-screen-snapshots.png	Cool SimAnt Screen Snapshots
65	139	0*gQn8oPAtbE0ibHLr.gif	065-simcity-for-hyperlook-on-the-news-window-system-running-on-a.gif	SimCity for HyperLook on the NeWS Window System running on a Sun Sparcstation 2 Workstation
66	165	1*9D_3HbKEfPIx5XwcH-hCow.png	066-simcity-2000-splash-screen.png	SimCity 2000 Splash Screen
67	167	1*xAVQdu9xIBz4S9wq5h4E9Q.png	067-1-xavqdu9xibz4s9wq5h4e9q-png.png	
68	168	1*jlqODKZv9gQ3CZmyzM45cw.png	068-1-jlqodkzv9gq3czmyzm45cw-png.png	
69	169	1*BrLOrTv-I6aStugxD9NHDQ.png	069-1-brlortv-i6astugxd9nhdq-png.png	
70	170	1*D3ubOEyJbekJNNjrIlYYKA.png	070-1-d3uboeyjbekjnnjrilyyka-png.png	
71	171	1*qit48cvICcUYrdhjZyJhIQ.png	071-1-qit48cviccuyrdhjzyjhiq-png.png	
72	172	1*R0r92vxgN4nbLteXaiiTqw.png	072-1-r0r92vxgn4nbltexaiitqw-png.png	
73	173	1*pwkHkhfMU_e_n19Jzv5z2Q.png	073-1-pwkhkhfmu-e-n19jzv5z2q-png.png	
74	174	1*T1qEXpIc8O1jUrRViUYnrA.png	074-1-t1qexpic8o1jurrviuynra-png.png	
75	175	1*3amcF4kJ8F_Ger0tGVOISw.png	075-1-3amcf4kj8f-ger0tgvoisw-png.png	
76	176	1*Gi3bUeuw-lzcAsYID82LzA.png	076-lots-of-cool-simcity-2000-screen-snapshots.png	Lots of Cool SimCity 2000 Screen Snapshots
77	179	1*40nUV_ctNeLOaQUE6Dw9qA.png	077-will-wright-at-stanford.png	Will Wright at Stanford
78	210	1*QS4CpnqZM-mA4MWSfzbQyg.png	078-loading-a-world-into-dollhouse.png	Loading a World into Dollhouse
79	213	1*XSLti9noaWVoeVjj1JJM4Q.png	079-city-level-view.png	City Level View
80	215	1*_oY5TE524hSrchtU0nuuPQ.png	080-street-level-view.png	Street Level View
81	217	1*L0mMjhoqyRbhe8XpQC4ERA.png	081-little-area-to-zoom-into.png	Little Area to Zoom Into
82	219	1*_Dz2Lad1nFz1SqQMmN88Uw.png	082-1-dz2lad1nfz1sqqmmn88uw-png.png	
83	220	1*6ZKTcuhkhCDh67PpQOka1Q.png	083-1-6zktcuhkhcdh67ppqoka1q-png.png	
84	221	1*PpBGiiSG0r4TOVAn_woN0A.png	084-dollhouse-zoom-levels.png	Dollhouse Zoom Levels
85	224	1*2h_ZI67ylcebUgqWDCZp7Q.png	085-a-little-person-in-dollhouse.png	A Little Person in Dollhouse
86	227	1*-o9G6AjEqGCyfXbrVZNWwQ.png	086-1-o9g6ajeqgcyfxbrvznwwq-png.png	
87	228	1*iWWfwtqkv9zTl8dlgHK4DA.png	087-1-iwwfwtqkv9ztl8dlghk4da-png.png	
88	229	1*Rwrmsm5zOuuOKqpP1I7ILQ.png	088-you-can-control-a-little-puppet.png	You Can Control a Little Puppet!
89	232	1*Gc977PrgkNOmmZ6higTEdQ.png	089-1-gc977prgknommz6higtedq-png.png	
90	233	1*FruX6tUBaS_IXMxuIgH3xA.png	090-1-frux6tubas-ixmxuigh3xa-png.png	
91	234	1*nOYS3vxLBdr_8jyc4F_EZQ.png	091-walking-around-the-city.png	Walking Around the City
92	237	1*2OcaylSrVNRp5xfPoYpLlw.png	092-1-2ocaylsrvnrp5xfpoypllw-png.png	
93	238	1*CXqNmpUMbOBOYTw-RXO4ZQ.png	093-1-cxqnmpumboboytw-rxo4zq-png.png	
94	239	1*5t5CF1xoiWNGDH10fpJ3iw.png	094-landscaping-and-architectural-tools-and-building-your-founda.png	Landscaping and Architectural Tools, and Building Your Foundation
95	243	1*FZ5DCmFEdZlwwTwk4OdshA.png	095-1-fz5dcmfedzlwwtwk4odsha-png.png	
96	244	1*glyyiYk6BmUh45jJoA3ThA.png	096-building-a-wall-on-your-foundation.png	Building a Wall on Your Foundation
97	247	1*eH3W_tb3_1QphJFKj3aH6w.png	097-1-eh3w-tb3-1qphjfkj3ah6w-png.png	
98	248	1*E0JWds_zQ1M_Ek0gyxEclQ.png	098-building-your-house-with-walls.png	Building Your House with Walls
99	252	1*OSbb4gSg4KGy0KHkpwp1dw.png	099-1-osbb4gsg4kgy0khkpwp1dw-png.png	
100	253	1*4t6ZQteNYJA3roRe_T4EUA.png	100-building-trees-in-your-yard.png	Building Trees in Your Yard
101	256	1*L8nTfKnBjMEi5T_A3Y4gvQ.png	101-1-l8ntfknbjmei5t-a3y4gvq-png.png	
102	257	1*JRws_HfGWc72QpHF7mX_pw.png	102-placing-windows-in-your-house.png	Placing Windows in Your House
103	260	1*NdaCQGqqsXgQqxwOtR3SzQ.png	103-1-ndacqgqqsxgqqxwotr3szq-png.png	
104	261	1*mptTyPd6DQYhC0iVkQuy-A.png	104-building-and-decorating-your-house.png	Building and Decorating Your House
105	263	1*BH9BerpaGOwR3pRP8jSkKw.png	105-1-bh9berpagowr3prp8jskkw-png.png	
106	264	1*86a4b-_hivQm7a27OJtscw.png	106-placing-a-seat-in-your-living-room.png	Placing a Seat in Your Living Room
107	266	1*mKFJUbffUHibcbD9QBvCGQ.png	107-1-mkfjubffuhibcbd9qbvcgq-png.png	
108	267	1*LxvQzlaFAyYVVLDGAAu0GQ.png	108-placing-a-lamp-in-your-living-room.png	Placing a Lamp in Your Living Room
109	269	1*AjJmmM2_hWV3L-cL9Tq7WA.png	109-1-ajjmmm2-hwv3l-cl9tq7wa-png.png	
110	270	1*vu49Q1iAaIXCTdZpb0oXoQ.png	110-placing-a-counter-in-your-living-room.png	Placing a Counter in Your Living Room
111	272	1*K7upE_wbGFE4am3Pae7-hA.png	111-1-k7upe-wbgfe4am3pae7-ha-png.png	
112	273	1*60gbEshh9XuoEFdqCOYM1Q.png	112-placing-a-toilet-in-your-living-room.png	Placing a Toilet in Your Living Room
113	276	1*iAR1qqtdjMHaHTh9RsZ26Q.png	113-sitting-on-a-toilet-in-your-living-room.png	Sitting on a Toilet in Your Living Room
114	285	1*qfs-dSBTiQv1rf7P2iLyoQ.png	114-1-qfs-dsbtiqv1rf7p2ilyoq-png.png	
115	286	1*9MdHJWt6a_-cKUjEnVPrHA.png	115-1-9mdhjwt6a-ckujenvprha-png.png	
116	287	1*O91CGIx3jqqnOzGxMfz6FQ.png	116-1-o91cgix3jqqnozgxmfz6fq-png.png	
117	291	1*NdeO_3oy2g9oPLy7dJlsLg.png	117-will-wright-at-stanford.png	Will Wright at Stanford
118	295	1*VofbNsOjEFK0C874Avacyg.png	118-will-wright-s-design-plunder-with-slides.png	Will Wright’s Design Plunder (With Slides)
119	297	1*uvkUrMCkTT0JrNl8bjx5RQ.png	119-will-wright-s-design-plunder-with-slides.png	Will Wright’s Design Plunder (With Slides)
120	299	1*Mypm--DKl9wtuO7VFYRkpw.png	120-will-wright-s-design-plunder-with-slides.png	Will Wright’s Design Plunder (With Slides)
121	301	1*Sk6_Y2-at6GBiYFrXp2Y9w.png	121-will-wright-s-design-plunder-with-slides.png	Will Wright’s Design Plunder (With Slides)
122	303	1*ONhwE34MJzmJ8QtBTSIJQg.png	122-will-wright-s-design-plunder-with-slides.png	Will Wright’s Design Plunder (With Slides)
123	305	1*pjjJ9CKwz1M0O2os9ZRsKQ.png	123-will-wright-s-design-plunder-with-slides.png	Will Wright’s Design Plunder (With Slides)
124	307	1*c49EkdoUm1vcOFnsygZZcw.png	124-will-wright-s-design-plunder-with-slides.png	Will Wright’s Design Plunder (With Slides)
125	309	1*86b33rH6m5V76l1JLUYWgg.png	125-will-wright-s-design-plunder-with-slides.png	Will Wright’s Design Plunder (With Slides)
126	311	1*bAdTWfHlxsrFkEDbijrPNg.png	126-will-wright-s-design-plunder-with-slides.png	Will Wright’s Design Plunder (With Slides)
127	313	1*yUuctzCKSWO9CT40bpZFUw.png	127-will-wright-s-design-plunder-with-slides.png	Will Wright’s Design Plunder (With Slides)
128	315	0*04vJ12ezbzep1r1H	128-0-04vj12ezbzep1r1h.jpeg	
129	316	0*aGcPi3E282OBrWQ8	129-0-agcpi3e282obrwq8.jpeg	
130	317	0*wWvk4GMa82mmIf5y	130-simshow-freethesims-and-iffpencil2.jpeg	SimShow, FreeTheSims, and IFFPencil2
131	318	0*lSD2A9Bdn1ekPTB5	131-0-lsd2a9bdn1ekptb5.jpeg	
132	319	0*FXXuHkqBkuxLFbxp	132-0-fxxuhkqbkuxlfbxp.jpeg	
133	320	0*t9DjViy87RSm9Qns	133-the-sims-transmogrifier-turial-making-a-green-flamingo.jpeg	The Sims Transmogrifier Turial: Making a Green Flamingo
134	321	0*yffBU26dfwggb6vU	134-0-yffbu26dfwggb6vu.jpeg	
135	322	0*BVKpn87c0aEFj_Mj	135-0-bvkpn87c0aefj-mj.jpeg	
136	323	0*68sItexH26Mnlm72	136-0-68sitexh26mnlm72.jpeg	
137	324	0*1sYXWNGZ_SHOGiFr	137-the-sims-rugomatic-creating-picture-storytelling-rugs.jpeg	The Sims RugOMatic Creating Picture Storytelling Rugs
138	326	0*EK5OCqxcxeHyUpUY	138-unreleased-simfreaks-web-app-prototype-by-don-hopkins-using.jpeg	Unreleased SimFreaks Web App Prototype by Don Hopkins using OpenLaszlo
139	330	0*YX0OTGMgO-FKQb8y	139-0-yx0otgmgo-fkqb8y.jpeg	
140	331	0*3bFau7JJmXGCh0vm	140-0-3bfau7jjmxgch0vm.jpeg	
141	332	0*r8P7qez1V2gngzq9	141-0-r8p7qez1v2gngzq9.jpeg	
142	333	0*868Xp5FZ_EsqUOSP	142-0-868xp5fz-esquosp.jpeg	
143	334	0*eCj4OpGZGr_CkhWF	143-0-ecj4opgzgr-ckhwf.jpeg	
144	335	0*ZCebp3a0I5NZexbp	144-0-zcebp3a0i5nzexbp.jpeg	
145	336	0*EBWjDG8P4Y3HmelQ	145-0-ebwjdg8p4y3hmelq.jpeg	
146	337	0*dVN4GMkGu1OslEzB	146-0-dvn4gmkgu1oslezb.jpeg	
147	338	0*te3aWInsqZ-iiJJE	147-simprov-wedding-playset-skins-and-objects-created-by-simbabe.jpeg	Simprov Wedding Playset Skins and Objects Created by SimBabes with Transmogrifier
148	340	1*7QzRK7QgX3-2ll17YjnIQw.png	148-will-wright-s-design-plunder-with-slides.png	Will Wright’s Design Plunder (With Slides)
149	343	1*3PJySn-mKGIsxwH4fQ1oLg.png	149-will-wright-s-design-plunder-with-slides.png	Will Wright’s Design Plunder (With Slides)
150	345	1*AhBc8NWBAgCANhhgnCPdfg.png	150-will-wright-s-design-plunder-with-slides.png	Will Wright’s Design Plunder (With Slides)
151	347	1*vfMsQwOjFKa1ue4INp00-w.png	151-will-wright-s-design-plunder-with-slides.png	Will Wright’s Design Plunder (With Slides)
152	349	0*gFHVxvxwBCRUUNCI	152-0-gfhvxvxwbcruunci.jpeg	
153	350	0*Tk1BU9D_0CKKWahS	153-casual-nudity-at-will-wright-s-secret-home-in-the-sims-onlin.jpeg	Casual Nudity at Will Wright’s Secret Home in The Sims Online
154	352	0*Jorr6zomKTn_3WQ8	154-0-jorr6zomktn-3wq8.jpeg	
155	353	0*RJhFAxwSptvMDw9h	155-0-rjhfaxwsptvmdw9h.jpeg	
156	354	0*6iIvrckbJNlSFn-p	156-ufological-research-labs-in-the-sims-online.jpeg	UFOlogical Research Labs in The Sims Online
157	357	0*kcds4oAQ68TTwJpk	157-early-simantics-behavior-tree-for-kissing-from-the-sims-stee.png	Early SimAntics Behavior Tree for Kissing from The Sims Steering Committee Pre-Release
158	359	0*YlWzq6MZXwMLbNx7.jpeg	158-0-ylwzq6mzxwmlbnx7-jpeg.jpeg	
159	360	0*_6e-mj7RA2MQpYwk	159-0-6e-mj7ra2mqpywk.jpeg	
160	361	0*O21M1PULUSDlQZoH	160-dumbold-voting-machine-for-the-sims-1.jpeg	Dumbold Voting Machine for The Sims 1
161	363	0*8CTtFj6tov-Wadxg	161-0-8cttfj6tov-wadxg.jpeg	
162	364	0*dmqdAi88JoyLrI8h	162-0-dmqdai88joylri8h.jpeg	
163	365	0*tgCien2BPm-dxjiG	163-simprov-hope-chest-wedding-carriage-and-wedding-portraits-ma.jpeg	Simprov Hope Chest, Wedding Carriage, and Wedding Portraits made by SimBabes with Transmogrifier
164	367	0*Hrv8TYm6_23dMWkC.jpg	164-the-sims-crowd-sitter.jpeg	The Sims Crowd Sitter
165	369	0*U0s5QWYBmruc3k-1	165-simprov-wedding-playset-bride-practicing-throwing-a-bouquet.jpeg	Simprov Wedding Playset Bride Practicing Throwing a Bouquet, by SimBabes
166	371	0*y9Cm0M50awXlacJ5	166-simprov-wedding-playset-luxurious-kitchen-by-simbabes.jpeg	Simprov Wedding Playset Luxurious Kitchen, by SimBabes
167	374	0*dct1aOCSZ90rgHp2.jpg	167-maxis-released-dollhouse-as-the-sims-in-2000.jpeg	Maxis released Dollhouse as The Sims in 2000
