speaker	org	title	session	date	format	box
Brenda Laurel	Unknown Organization	Gender and Technology: A Case Study	CS547 Winograd 5	2000-2-4	VHS	Box 8
Brenda Laurel	Unknown Organization	Utopian Entrepreneur	CS547 Winograd 4	2002-2-1	VHS	Box 7
Brenda Laurel, Rob Tow, Rachel Strickland	Interval Research	Placeholder: Landscape and Narrative in a Virtual Environment	CS547 Winograd 8	1993-11-19	VHS	Box 1
Brian Dear	Unknown Organization	Lessons Learned: Interacting with the PLATO System	CS547 Winograd 6	2003-5-9	VHS	Box 9
Brinda Dalal, Danny Bobrow, Jim Thornton, Nathan Good, Victoria Bellotti	Xerox PARC	What a To-Do: Studies of Task Management Towards the Design of a Personal Task List Manager	CS547 Winograd 3	2005-4-15	VHS	Box 10
Bruce Tognazzini	Sunsoft	Computing in the Year 2004	CS547 Winograd 7	1994-2-18	VHS	Box 2
Byron Reeves	Stanford Department of Communication	Psychological Arousal and Interactive Media	CS547 Winograd 8	2000-5-19	VHS	Box 8
Charles Kerns, George Toye	Stanford Learning Lab	New Technologies for Learning	CS547 Winograd 9	1998-3-6	VHS	Box 5
Charles Poynton	Sun Microsystems	Color Science for Computer-Human Interface Designs	CS547 Winograd 3	1994-04-15	VHS	Box 2
Charlie Ortiz	SRI International	Interpreting Information Requests in Context	n/a	2001-4-5	DVD	Box 12
Chris Bregler, Trevor Darrell	Interval Research, UC Berkeley	Intelligent Analysis/Synthesis of Facial Imagery	CS547 Winograd 6	1997-10-31	VHS	Box 4
Chuck Clanton	Avatar	Filmcraft in User Interface Design	CS547 Winograd 7	1992-11-11	VHS	Box 1
Chuck Clanton, Jeffrey Ventrella	There, Inc	Avatar-centric Communication in There	CS547 Winograd 1	2003-4-4	VHS	Box 9
Cliff Nass	Stanford Communications Department, CSLI	How Human is Human-Computer Interaction?	CS547 Winograd 6	1999-10-29	VHS	Box 6
Cliff Nass	Stanford Department of Communication	Computers Are Social Actors: A New Paradigm and Some Surprising Results	CS547 Winograd 6	1992-11-4	VHS	Box 1
Cliff Nass	Stanford University Department of Communication	Voice Activated: Interface Design and the Psychology of Enjoyment, Trust, and Sales	CS547 Winograd	2000-12-1	VHS	Box 8
Dag Svanaes	Norwegian University of Science and Technology	Kinesthetic Thinking: Interaction Design without Programming	CS547 Winograd 3	1998-01-23	VHS	Box 5
Dan Gillette	Cure Autism Now	Developing a Voice Output Communication Aid for Children with Severe Autism	CS547 Winograd 3	2004-1-23	VHS	Box 10
Dan Olsen	Brigham Young University	Moore's Law Meets Physiology: The Future of Interactive Systems	CS547 Winograd 5	2002-02-08	VHS	Box 7
Dan Robbins	Microsoft Research	The Task Gallery: A 3D Window Manager	CS547 Winograd 4	2000-04-21	VHS	Box 8
Dan Russell	Apple ATG	Sensemaking: What People do to Understand Their World	CS547 Winograd 5	1994-02-04	VHS	Box 2
Dan Russell	Apple Research Labs	Sensemaking II: What, Why and Whither People Use the WWW for Work	CS547 Winograd 10	1997-3-14	VHS	Box 4
Dan Russell	IBM Almaden Research Center	BlueBoards in Use: Large Public Displays for Collaboration	CS547 Winograd 1	2001-9-28	VHS	Box 11
Danah Boyd	UC Berkeley SIMS	Revenge of the Social Network: Lessons from Friendster	CS547 Winograd 5	2005-2-4	VHS	Box 10
David Cavallo	MIT Media Lab	New Learning Environments	CS547 Winograd 7	2001-02-23	VHS	Box 11
David Dupouy	Sensiva	Symbols as Universal User Interface	CS547 Winograd 7	2001-11-9	VHS	Box 11
David Goldberg	Xerox PARC	Unistrokes: Pen Computing for Experts	CS547 Winograd 6	1993-11-5	VHS	Box 1
David Hilbert, Jonathan Trevor	FX Palo Alto Laboratory	Issues in Personalizing Shared Ubiquitous Interfaces	CS547 Winograd 3	2003-1-24	VHS	Box 9
David Hilbert, Jonathan Trevor	FX-PAL	M-Links: A UI For Web Interaction On Very Small Devices	CS547 Winograd 5	2001-10-26	VHS	Box 11
David Kurlander	Microsoft Research	Comic Chat: Research and Productization War Stories	CS547 Winograd 1	1998-4-3	VHS	Box 5
David Rumelhart	Stanford Psych	N.N. Applications to Cursive Handwriting	n/a	1994-1-28	VHS	Box 2
David Stork	Ricoh, Open Mind Initiative	The Open Mind Initiative: Large-Scale Knowledge Acquisition from Non-Experts via the Web	CS547 Winograd 2	2004-1-16	VHS	Box 10
David Stork	Ricoh California Research Center, Stanford Psychology	HAL's Legacy: 2001's Computer as Dream and Reality	CS547 Winograd 2	1997-1-17	VHS	Box 4
Debby Hindus	Interval Research	The Importance of Homes in Technology Research	CS547 Winograd 2	2000-1-14	VHS	Box 8
Debby Hindus	Unknown Organization	Casablanca: Designing Social Communication Devices for the Home	CS547 Winograd 3	2001-4-20	VHS	Box 11
Diane Schiano	Interval Research	New Findings on Facial Affects	CS547 Winograd 7	2000-5-12	VHS	Box 2
Diane Schiano	Interval Research	The First Noble Truth of Cyberspace: People are People Even in the MUD	CS547 Winograd 1	1997-1-10	VHS	Box 4
Don Gentner	JavaSoft, Sun Microsystems	The WebTop - HotJava Views and Beyond	CS547 Winograd 4	1997-10-17	VHS	Box 4
Don Norman	Apple Computer	An Academic Discovers the Realities of Design	CS547 Winograd 9	1994-12-02	VHS	Box 2
Don Norman	Hewlett-Packard Laboratories	Towards the Third Generation of the PC: Lessons Learned from Thomas Edison	CS547 Winograd 9	1997-5-30	VHS	Box 4
Don Norman	Nielsen-Norman Group	The Life Cycle of a Technology: Why It Is So Difficult for Large Companies to Innovate	CS547 Winograd 4	1998-10-16	VHS	Box 5
Doug Oard	University of Maryland	Searching Spoken Word Collections	CS547 Winograd 8	2003-2-28	VHS	Box 9
Ed Chi	Xerox PARC	The Scent of a Sight: A System for Analyzing and Predicting Information Scent, Usage and Usability of a Web Site	CS547 Winograd 6	2000-05-05	VHS	Box 8
Ehud Shapiro	Weizmann Institute	Active Mail --- A Framework for Implementing Groupware	CS547 Winograd 5	1992-10-28	VHS	Box 1
Elaine Chew	USC	Collaborative Performance Experiments in the Distributed Immersive Performance Project	CS547 Winograd 8	2005-5-13	VHS	Box 10
Elin Ronby Pederson	Google Research	Tacit Interaction	CS547 Winograd 7	1999-5-14	VHS	Box 6
Elizabeth Sanders	SonicRim, Ohio State University	Opening the Design Process: Everyday People in the Fuzzy Front End	CS547 Winograd 1	2001-1-12	VHS	Box 11
Elmer Sandvad	University of Oslo	Hypermedia Applications in Beta	n/a	1995-10-20	DVD	Box 12
Enver Sehovic	University of Zagreb, Croatia	Information Society in a Post-Communist Environment: The Croatian Experience	CS547 Winograd 5	1996-2-9	VHS	Box 3
Eric Bier	Xerox PARC	The Magic Lens Interface	CS547 Winograd 10	1994-12-9	VHS	Box 2
Eric Bier, Ken Pier	Xerox PARC	Sparrow Web: Community Shared Web Pages	CS547 Winograd 10	2002-3-15	VHS	Box 7
Eric Horvitz	Microsoft Research	Probability, Utility and Human-Computer Interaction	CS547 Winograd 5	1998-2-6	VHS	Box 5
Eric Paulos	Intel Berkeley Lab	Trash Talk: Deconstructing Situations Across Our Emerging Technological Urban Landscape	CS547 Winograd 9	2004-12-3	VHS	Box 10
Eric Paulos	UC Berkeley	Social Tele-embodiment: Understanding Presence	CS547 Winograd 10	2000-3-10	VHS	Box 8
Erich J. Neuhold	GMD-IPSI, T. U. Darmstadt, Germany	Work Beyond the Desktop: Our Cooperative Building and Roomware Projects	CS547 Winograd 9	1998-5-29	VHS	Box 5
Erika Chuang	VSee Lab	How to Change the World and Be Home for Dinner: The Art, Science, and Myths of Videoconferencing	CS547 Winograd 10	2005-3-11	VHS	Box 10
Eviatar Shafrir	Hewlett-Packard	Information Playgrounds: Local Metaphors for Interactive Information	CS547 Winograd 3	1995-1-27	VHS	Box 3
Fabrice Florin	Sirius	Interactive Design in Digital Entertainment	CS547 Winograd 5	2001-2-9	VHS	Box 11
Francois Guimbretiere	Stanford Computer Science	Fluid Interaction for High Resolution Wall-Size Displays	CS547 Winograd 9	2001-06-01	VHS	Box 9
Francois Guimbretiere	University of Maryland	People Paper and Computers	CS547 Winograd 10	2003-12-5	VHS	Box 10
Frankie James	Stanford	AHA: Audio HTML Access	CS547 Winograd 8	1998-2-27	VHS	Box 5
Fred Turner	Stanford Department of Communications	From Counterculture To Cyberculture: How The Whole Earth Catalog Brought Us Virtual Community	CS547 Winograd 2	2003-4-11	VHS	Box 9
Gary Olson, Judith Olson	University of Michigan	Distance Matters: Intellectual Work Among Geographically Separated Group Members	CS547 Winograd 4	1998-4-24	VHS	Box 5
Gayle Curtis, Scott Kim, Kristina Hooper Woolsey	Unknown Organization	VizAbility	CS547 Winograd 6	1996-2-16	VHS	Box 3
Gene Golovchinsky	FX-PAL	Reading Appliances and the Future of the Document Work	CS547 Winograd 8	2001-11-16	VHS	Box 11
Genevieve Bell	Intel Research	Talking phones: a Cultural Analysis of an Information and Communication Technology	CS547 Winograd 4	2004-1-30	VHS	Box 10
George Robertson, Stuart K Card, Jack D Mackinlay	Xerox PARC	Information Visualization Using 3D Interactive Animation	CS547 Winograd 10	1993-12-10	VHS	Box 2
Gerhard Fischer	University of Colorado, Boulder	Social Creativity and Meta-Design in Lifelong-Learning Communities	CS547 Winograd 3	2002-4-19	VHS	Box 7
Gerhard Fischer	University of Colorado, Boulder	Transcending the Individual Human Mind	CS547 Winograd 4	1999-4-23	VHS	Box 6
Gillian Crampton Smith	Royal College Of Art, London	Computer-Related Design at the Royal College of Art	CS547 Winograd 1	1998-9-25	VHS	Box 5
Giovanni Seni	Motorola Human Interface Labs	TreadMill Ink -- Enabling Continuous Pen Input on Small Devices	CS547 Winograd 2	2002-04-12	VHS	Box 7
Greg Wolff	Ricoh Silicon Valley	In Support of Multimedia Conversations	CS547 Winograd 6	2000-02-11	VHS	Box 8
Hannes Marais	DEC Systems Research Center	Supporting Cooperative and Personal Surfing with a Desktop Assistant	n/a	1997-10-24	DVD	Box 12
Harry Saddler	Xerox PARC	The Apple University Design Project 1992-1997: A Retrospective	CS547 Winograd 4	1998-1-30	VHS	Box 5
Harry Saddler, L. Alba, Albert Farris	Apple Computer	Making It Macintosh: Interactive Media, Interpersonal Design	CS547 Winograd 3	1993-10-15	VHS	Box 1
Henry Fuchs	University of North Carolina	Technologies for Telecollaboration: Challenges and Opportunities in Image Capture, Rendering and Display	CS547 Winograd 6	1997-5-9	VHS	Box 4
Henry Lieberman	MIT Media Lab	Integrating User Interface Agents with Conventional Applications	CS547 Winograd 1	1998-1-9	VHS	Box 5
Hiroshi Ishii	MIT Media Lab	Tangible Bits: Towards Seamless Interface between People, Bits, and Atoms	CS547 Winograd 5	1997-5-2	VHS	Box 4
Hy Murveit	Nuance Communications	Speech Recognition: From Laboratory to Consumer - Half a Million Callers a Day can't be Wrong!	CS547 Winograd 1	1999-1-8	VHS	Box 6
Ian Smith	Intel Research Seattle	Social Mobile Applications, Location Privacy and the Capital of Nevada	CS547 Winograd 3	2005-1-21	VHS	Box 10
Ian Smith, Mark Howard, Nicolas Ducheneaut, Victoria Bellotti	Xerox PARC	TaskMaster: Resource Management in an Email Client	CS547 Winograd 6	2003-2-14	VHS	Box 9
Jack Hong	Unknown Organization	Web and ME210: Applications of WWW in Education of Engineering Design Teams	CS547 Winograd 1	1995-09-29	VHS	Box 3
Jakob Nielsen	Sunsoft	Heuristic Evaluation of User Interfaces	CS547 Winograd 8	1994-5-20	VHS	Box 2
Jakob Nielsen	Sun Microsystems	Ensuring the Usability of the Next Computing Paradigm	CS547 Winograd 2	1996-10-4	VHS	Box 3
James Gosling	Sun Microsystems	Bringing Behavior to the Internet	CS547 Winograd 9	1995-12-1	VHS	Box 3
James Hollan	UNM Computer Science	Towards a New View of Information: History-Enriched Digital Objects and Dynamic Work Materials	CS547 Winograd 8	1997-5-23	VHS	Box 4
James Landay	Carnegie Mellon University	Interactive Sketching for the Early Stages of User Interface Design	CS547 Winograd 2	1996-4-12	VHS	Box 3
James Landay	UC Berkeley	Informal User Interfaces for Shared Note Taking	CS547 Winograd 6	1999-2-12	VHS	Box 6
James Landay	UC Berkeley	Pervasive Interaction: Informal Tools for Designing Anywhere, Anytime, Anydevice User Interfaces	CS547 Winograd 7	2001-05-18	VHS	Box 7
James Landay	University of Washington, Intel	Digital Simplicity: Usable Personal Ubicomp	CS547 Winograd 8	2004-11-19	VHS	Box 10
Jane Borchers	Stanford Computer Science	Post-Desktop User Interfaces	CS547 Winograd 4	2002-10-18	VHS	Box 7
Jaron Lanier	National Tele-Immersion Initiative	The National Tele-Immersion Initiative	CS547 Winograd 9	1999-3-5	VHS	Box 6
Jason Hong	UC Berkeley	Privacy in the Age of Ubiquitous Computing	CS547 Winograd 8	2004-3-5	VHS	Box 10
Jason Tester	Unknown Organization	Accelerated Democracy: Scenarios for the future of technological voting	CS547 Winograd 5	2004-10-29	VHS	Box 9
Jay Trimble	NASA Ames Research Center	MERBoard: a Multi-Mission Platform for Collaborative Mission Control Application	CS547 Winograd 2	2004-4-9	VHS	Box 9
Jef Raskin	Unknown Organization	Prolegomena to future interface design	CS547 Winograd 2	2001-10-05	VHS	Box 11
Jeff Johnson	UI Wizards, Inc	Designing Responsive Software Despite Performance Limitations	CS547 Winograd 5	2001-5-4	VHS	Box 11
Jeff Johnson	UI Wizards, Inc	"The Making of ""GUI Bloopers"""	CS547 Winograd 5	2000-4-28	VHS	Box 8
Jeff Johnson	UI Wizards, Inc	Universal Access to the Net: Requirements and Social Impact	CS547 Winograd 3	1997-4-18	VHS	Box 4
Jeff Johnson	UI Wizards, Inc	Web Bloopers: Avoiding Common Design Mistakes	CS547 Winograd 1	2004-1-9	VHS	Box 10
Jeffrey Herman, Suja Raju	eBay	The Business of User Experience	CS547 Winograd 6	2004-2-20	VHS	Box 10
Jennifer Healey	MIT Media Lab	Sensible Computers: Technologies that Enable Computers to Understand Human Emotion	CS547 Winograd 5	2000-10-27	VHS	Box 8
Jennifer Mankoff	Georgia Tech	Programming Support for Natural Interaction	n/a	2001-4-13	DVD	Box 12
Jennifer Mankoff	UC Berkeley	Enhancing User Experiences in Ubiquitous Computing	CS547 Winograd 8	2004-5-28	VHS	Box 2
Jenny Preece	University of Maryland	Online Communities: Design Usability, Supporting Sociability	CS547 Winograd 3	2000-10-13	VHS	Box 8
Jeremy Bailenson	Stanford Communication Department	Strategic Behavioral Transformations in Immersive Collaborative Virtual Environments	CS547 Winograd 1	2003-9-26	VHS	Box 9
Jim Fruchterman	Benetech	Designing for the Disadvantaged	CS547 Winograd 8	2002-5-24	VHS	Box 7
Jim Hollan	UCSD Cognitive Science	People, Computers, and Design: A View from UCSD	CS547 Winograd 9	2003-11-21	VHS	Box 10
Jitendra Malik	UC Berkeley	Finding Objects in Large Collections of Images	CS547 Winograd 2	1997-10-3	VHS	Box 4
Joan Walton, Leslie Keely, Ronald Mak	NASA Ames Research Center	NASA's Collaborative Information Portal: HCI Lessons Learned	CS547 Winograd 7	2004-2-27	VHS	Box 10
Jock Mackinlay	Xerox PARC	Visualization for All	CS547 Winograd 3	2002-1-25	VHS	Box 7
John Canny	UC Berkeley	3DDI: 3D Direct Interaction	CS547 Winograd 10	1998-03-13	VHS	Box 5
John Dowding, Robert Moore	SRI International, NASA Ames Research Center	CommandTalk: A Spoken-Language Interface to a Battlefield Simulator	CS547 Winograd 3	1998-10-9	VHS	Box 5
John Hughes	Brown University Computer Graphics Group	Sketching: Past, Present and Future	CS547 Winograd 8	1996-11-22	VHS	Box 3
John Morkes	Trilogy	Effects of Humor in Task-oriented Human-Computer Interaction and Computer-Mediated Communication	CS547 Winograd 8	2000-2-25	VHS	Box 8
"John Tang, James ""Bo"" Begole"	Sun Microsystems	Awareness on the Move: Desktop and Mobile Awareness Prototypes for Coordinating Contact	CS547 Winograd 4	2001-4-27	VHS	Box 11
John Woodfill	Tyzx	Network of Smart 3D sensors	CS547 Winograd 9	2005-03-04	VHS	Box 10
Jon Bowersox	Stanford University School of Medicine Department of Surgery	Designing an Interface for Telesurgery	CS547 Winograd 8	1997-2-28	VHS	Box 4
Jonathan Grudin	Microsoft Research	Multimedia Research at Microsoft: Making Audio and Video First-Class Objects	CS547 Winograd 8	2001-3-2	VHS	Box 11
Jonathan Grudin	UC Irvine	Enabling and Constraining Effects of New Technologies	CS547 Winograd 10	1995-10-6	VHS	Box 3
Joy Mountford	Interval Research	Design of New Media Interfaces	n/a	1993-5-12	DVD	Box 12
Joy Mountford	Interval Research	Interface: Where Should Industry and Academia Meet?	CS547 Winograd 2	1994-10-7	VHS	Box 2
Judith Donath	MIT Media Lab	The Establishment of Identity in Virtual Communities	CS547 Winograd 7	1995-11-10	VHS	Box 3
Judith Donath	MIT Media Lab	Sociable Media for Real and Virtual Spaces	CS547 Winograd 1	2003-1-10	VHS	Box 9
Justine Cassell	MIT Media Lab	Communicating with Machines Using Speech, Gesture, and Facial Expression	CS547 Winograd 8	1998-5-22	VHS	Box 5
Ka-Ping Yee	UC Berkeley Computer Science	Peephole Displays: Pen Interaction on Spatially Aware Handheld Computers	CS547 Winograd 7	2003-5-16	VHS	Box 9
Kai Li	Princeton University	Building a Scalable Display Wall	CS547 Winograd 7	2000-11-10	VHS	Box 8
Kai-Fu Lee	Apple Computer	Towards Conversational Computers	CS547 Winograd 6	1993-02-10	VHS	Box 1
Karen Fries	Microsoft	Making Software Easier and More Fun with Social Interfaces	CS547 Winograd 3	1997-1-24	VHS	Box 4
Karon Maclean	Interval Research	Designing with Haptic Feedback	CS547 Winograd 9	2000-03-03	VHS	Box 8
Karon Weber	Pixar	Interaction Design at Pixar Animation Studios	CS547 Winograd 1	2002-4-5	VHS	Box 7
Kate Collie	University of British Columbia	Art Therapy and Tele-Mediated Communication in Behavioral Telehealth	CS547 Winograd 9	2003-3-7	VHS	Box 9
Kathleen Liston	Stanford Civil Engineering (CIFE)	Interactive Workspace in Construction	CS547 Winograd 7	2002-2-22	VHS	Box 7
Keith Edwards, Anthony Lamarca	Xerox PARC	Flatland User Interfaces	CS547 Winograd 5	1999-4-30	VHS	Box 6
Ken Fishkin, AnuJ Gujar, Beverly Harrison, Roy Want	Xerox PARC	Invisible Interfaces	CS547 Winograd 6	1999-5-7	VHS	Box 6
Ken Goldberg	UC Berkeley	Interfacing Telerobotics to the Net: Experiments in Telepistemology	CS547 Winograd 4	1999-1-29	VHS	Box 6
Ken Goldberg	UC Berkeley	Networked Robots	CS547 Winograd 8	2005-2-25	VHS	Box 10
Ken Hinckley	Microsoft Research	High Performance Pen Interfaces	CS547 Winograd 4	2004-10-22	VHS	Box 9
Ken Hinckley	Microsoft Research	Input Research at Microsoft: Sensors, Mice and Keyboards, Oh My!	CS547 Winograd 8	2002-3-1	VHS	Box 7
Ken Kahn	PARC & CSC	Toon Talk	CS547 Winograd 9	1993-12-3	VHS	Box 1
Ken Perlin	NYU Media Research Lab	Recent Research at the NYU Media Research Lab	CS547 Winograd 7	1999-11-5	VHS	Box 6
Kenneth Salisbury	Stanford Departments of Computer Science and Surgery	Introduction to Haptics	CS547 Winograd 1	1999-9-24	VHS	Box 6
Kevin Lynch	General Magic	Magic Cap	CS547 Winograd 10	1996-3-15	VHS	Box 3
Kevin Mullet	Macromedia	Space Craft: Perceptual Aids for Cognitive Activity	CS547 Winograd 7	1996-2-23	VHS	Box 3
Krishna Bharat	DEC Systems Research Center	Supporting Cooperative and Personal Surfing with a Desktop Assistant	CS547 Winograd 5	1997-10-24	VHS	Box 4
Kristen Nygaard	University of Oslo	A process-Oriented Conceptual Platform for Informatics	CS547 Winograd 4	2001-10-19	VHS	Box 11
Kristina Hooper Woolsey	Apple Computer	Casual Multimedia: The Use of Imagery in Everyday Activities	CS547 Winograd	1993-01-20	VHS	Box 1
Larry Arnstein	University of Washington	Experiment Capture in the Biology Lab	CS547 Winograd 6	2001-11-2	VHS	Box 11
Larry Friedlander	Overeducated Cartoonist	Wheel of Life: A Transformational Theatre Piece	CS547 Winograd 5	1995-10-27	VHS	Box 3
Larry Leifer	Stanford Center for Design Research	Applications of WWW in Education of Engineering Design Teams	n/a	1995-9-29	DVD	Box 12
Larry Page	Google	Google Is Not an Anomaly: A Blueprint for Inventing and Building Innovative and Successful User-Centric Products	CS547 Winograd 1	2002-01-11	VHS	Box 7
Larry Tesler, David Canfield Smith, Allen Cypher	StageCast	Visual Interactive Simulations	CS547 Winograd 1	1999-4-2	VHS	Box 6
Lauralee Alben, Harry Sadler, Terry Winograd	Alben+Faris, Apple, Stanford	The Interacting Design Awards	CS547 Winograd 8	1996-5-31	VHS	Box 3
Lucy Suchman	Xerox PARC	Putting Work Document Collections Online	CS547 Winograd 2	1999-1-15	VHS	Box 6
Lyn Bartram	Coligio	Coding with Motion: Perceptually Based Visualization Techniques	CS547 Winograd 4	2002-4-26	VHS	Box 7
Malcom Slaney	Interval Research	Better CHI through Signal Processing (People Centric Processing)	CS547 Winograd 1	2000-01-07	VHS	Box 8
Marc Brown	DEC Systems Research Center	Algorithm Audiovisualization	CS547 Winograd 1	1994-1-7	VHS	Box 2
Marc Davis	MIT Media Lab	Media Streams: Interfaces and Representations Media	CS547 Winograd 10	1992-12-2	VHS	Box 1
Marc Davis	MIT Media Lab, Interval Research	Media Streams: Representing Video for Retrieval and Repurposing	CS547 Winograd 9	1994-5-27	VHS	Box 2
Marc Davis	UC Berkeley SIMS	Mobile Media Metadata: The Future of Mobile Imaging	CS547 Winograd 1	2004-4-2	VHS	Box 10
Marc Davis	UC Berkeley SIMS	Towards Computational Media: Metadata for Media Automation and Reuse	CS547 Winograd 6	2002-11-01	VHS	Box 7
Marc Levoy	Stanford Computer Science	Spreadsheets for Images	CS547 Winograd 2	1994-9-30	VHS	Box 2
